,r1,r2,rnn action,adv action,adv reward,real model action
0,1.0,0.0,[[1 0]],[1],[0.],[[1. 0.]]
1,1.0,0.0,[[1 0]],[1],[1.],[[0. 1.]]
2,0.0,0.0,[[0 1]],[0],[0.],[[1. 0.]]
3,1.0,0.0,[[0 1]],[1],[1.],[[1. 0.]]
4,1.0,0.0,[[0 1]],[1],[1.],[[0. 1.]]
5,1.0,0.0,[[1 0]],[1],[0.],[[1. 0.]]
6,1.0,0.0,[[1 0]],[1],[1.],[[1. 0.]]
7,1.0,0.0,[[1 0]],[1],[1.],[[1. 0.]]
8,0.0,0.0,[[1 0]],[0],[1.],[[1. 0.]]
9,1.0,0.0,[[1 0]],[1],[1.],[[1. 0.]]
10,0.0,1.0,[[1 0]],[2],[1.],[[0. 1.]]
11,1.0,0.0,[[1 0]],[1],[0.],[[1. 0.]]
12,0.0,1.0,[[1 0]],[2],[1.],[[1. 0.]]
13,0.0,1.0,[[1 0]],[2],[1.],[[0. 1.]]
14,1.0,0.0,[[1 0]],[1],[0.],[[1. 0.]]
15,0.0,0.0,[[1 0]],[0],[1.],[[0. 1.]]
16,0.0,0.0,[[1 0]],[0],[0.],[[1. 0.]]
17,0.0,0.0,[[1 0]],[0],[1.],[[0. 1.]]
18,0.0,0.0,[[1 0]],[0],[0.],[[1. 0.]]
19,0.0,0.0,[[1 0]],[0],[1.],[[1. 0.]]
20,0.0,1.0,[[1 0]],[2],[1.],[[1. 0.]]
21,0.0,1.0,[[1 0]],[2],[1.],[[0. 1.]]
22,1.0,0.0,[[1 0]],[1],[0.],[[0. 1.]]
23,1.0,0.0,[[0 1]],[1],[0.],[[0. 1.]]
24,1.0,0.0,[[1 0]],[1],[0.],[[1. 0.]]
25,1.0,0.0,[[1 0]],[1],[1.],[[1. 0.]]
26,1.0,0.0,[[1 0]],[1],[1.],[[0. 1.]]
27,1.0,0.0,[[0 1]],[1],[0.],[[1. 0.]]
28,1.0,0.0,[[0 1]],[1],[1.],[[0. 1.]]
29,1.0,0.0,[[1 0]],[1],[0.],[[0. 1.]]
30,1.0,0.0,[[1 0]],[1],[0.],[[1. 0.]]
31,1.0,0.0,[[1 0]],[1],[1.],[[1. 0.]]
32,1.0,0.0,[[1 0]],[1],[1.],[[0. 1.]]
33,1.0,0.0,[[1 0]],[1],[0.],[[1. 0.]]
