,0
0,193.0
1,274.0
2,330.0
3,98.0
4,220.0
5,331.0
6,150.0
7,256.0
8,187.0
9,121.0
10,278.0
11,146.0
12,329.0
13,168.0
14,89.0
15,281.0
16,344.0
17,321.0
18,315.0
19,316.0
20,216.0
21,183.0
22,232.0
23,229.0
24,267.0
25,301.0
26,318.0
27,263.0
28,251.0
29,249.0
30,331.0
31,182.0
32,273.0
33,241.0
34,218.0
35,375.0
36,221.0
37,194.0
38,280.0
39,268.0
40,205.0
41,139.0
42,226.0
43,97.0
44,315.0
45,354.0
46,147.0
47,166.0
48,292.0
49,222.0
50,222.0
51,179.0
52,200.0
53,300.0
54,363.0
55,201.0
56,224.0
57,187.0
58,314.0
59,212.0
60,273.0
61,294.0
62,303.0
63,200.0
64,257.0
65,174.0
66,155.0
67,309.0
68,288.0
69,243.0
70,118.0
71,241.0
72,280.0
73,246.0
74,231.0
75,280.0
76,234.0
77,262.0
78,341.0
79,321.0
80,233.0
81,285.0
82,228.0
83,325.0
84,184.0
85,308.0
86,201.0
87,246.0
88,301.0
89,289.0
90,147.0
91,334.0
92,247.0
93,95.0
94,311.0
95,251.0
96,273.0
97,155.0
98,153.0
99,273.0
100,51.0
101,270.0
102,306.0
103,328.0
104,191.0
105,217.0
106,267.0
107,139.0
108,282.0
109,317.0
110,215.0
111,329.0
112,338.0
113,273.0
114,330.0
115,309.0
116,293.0
117,267.0
118,319.0
119,294.0
120,250.0
121,203.0
122,326.0
123,250.0
124,213.0
125,176.0
126,270.0
127,61.0
128,261.0
129,288.0
130,192.0
131,165.0
132,360.0
133,198.0
134,188.0
135,331.0
136,250.0
137,140.0
138,151.0
139,275.0
140,246.0
141,326.0
142,235.0
143,237.0
144,181.0
145,301.0
146,138.0
147,296.0
148,278.0
149,184.0
150,193.0
151,258.0
152,267.0
153,197.0
154,388.0
155,263.0
156,381.0
157,236.0
158,235.0
159,210.0
160,318.0
161,248.0
162,276.0
163,277.0
164,345.0
165,284.0
166,365.0
167,300.0
168,303.0
169,234.0
170,294.0
171,324.0
172,354.0
173,312.0
174,265.0
175,455.0
176,257.0
177,237.0
178,328.0
179,235.0
180,321.0
181,235.0
182,297.0
183,276.0
184,313.0
185,119.0
186,250.0
187,270.0
188,348.0
189,320.0
190,165.0
191,202.0
192,333.0
193,219.0
194,241.0
195,248.0
196,345.0
197,260.0
198,318.0
199,327.0
