,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,real model action,real_model action cont,adv_state
0,[8.],[[[0 0 1 0 0]]],[[9.]],[1],[22.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-8.69668305e-01  7.55100548e-01 -2.62610346e-01  3.43695574e-04
   8.69573355e-02  9.12157774e-01  2.50891608e-04  2.90299475e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  2.00000000e-01]]"
1,[0.],[[[0 0 1 0 0]]],[[9.]],[0],[24.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[8.]],"[[-9.31208134e-01  9.28341329e-01  9.87028360e-01  6.07550202e-04
   9.89960551e-01  9.30998754e-03  8.27756885e-05  3.91646900e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  3.00000000e-01]]"
2,[0.],[[[0 1 0 0 0]]],[[8.]],[0],[15.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-6.50509655e-01  9.74989057e-01  9.97627795e-01  3.66952969e-03
   9.87403274e-01  8.60692654e-03  2.20734903e-04  9.94469083e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-01]]"
3,[4.],[[[0 1 0 0 0]]],[[7.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.05636668e-01  9.94965374e-01  9.95366871e-01  7.03110185e-04
   9.90246415e-01  8.93626455e-03  7.86680030e-05  3.55274969e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  5.00000000e-01]]"
4,[9.],[[[0 1 0 0 0]]],[[8.]],[4],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[3.]],"[[-9.83830571e-01  9.98131037e-01  9.95953918e-01  4.23052086e-04
   9.90527153e-01  8.96631554e-03  5.74688638e-05  2.59978333e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-01]]"
5,[9.],[[[0 1 0 0 0]]],[[8.]],[4],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[3.]],"[[-9.94768500e-01  9.99232411e-01  9.96547222e-01  3.93765746e-04
   9.90580976e-01  8.94553494e-03  5.48621210e-05  2.48066426e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  7.00000000e-01]]"
6,[9.],[[[0 1 0 0 0]]],[[5.]],[4],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[3.]],"[[-9.96322393e-01  9.99677420e-01  9.96635616e-01  3.89753288e-04
   9.90588307e-01  8.94267112e-03  5.44699105e-05  2.46232867e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-01]]"
7,[9.],[[[0 1 0 0 0]]],[[7.]],[4],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[3.]],"[[-9.96542454e-01  9.99861062e-01  9.96653795e-01  3.89178516e-04
   9.90589738e-01  8.94210860e-03  5.44008908e-05  2.45893425e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[5.],[[[0 1 0 0 0]]],[[6.]],[2],[4.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[3.]],"[[-9.16391134e-01  9.99924719e-01  9.97783661e-01  6.53520052e-04
   9.90409613e-01  8.82919598e-03  7.42697739e-05  3.34084907e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[0.],[[[0 1 0 0 0]]],[[8.]],[0],[9.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[3.]],"[[5.71339071e-01 9.99930263e-01 9.98471498e-01 9.07310963e-01
  8.87683555e-02 7.03030790e-04 2.27095908e-03 9.46761458e-04
  1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 1.10000000e+00]]"
