,0
0,73.0
1,176.0
2,239.0
3,112.0
4,182.0
5,75.0
6,114.0
7,187.0
8,154.0
9,281.0
10,203.0
11,137.0
12,178.0
13,206.0
14,132.0
15,88.0
16,143.0
17,209.0
18,80.0
19,184.0
20,256.0
21,96.0
22,243.0
23,142.0
24,184.0
25,129.0
26,154.0
27,192.0
28,204.0
29,83.0
30,187.0
31,38.0
32,163.0
33,282.0
34,201.0
35,178.0
36,242.0
37,157.0
38,166.0
39,118.0
40,150.0
41,241.0
42,178.0
43,217.0
44,186.0
45,214.0
46,154.0
47,133.0
48,143.0
49,164.0
50,87.0
51,192.0
52,117.0
53,135.0
54,148.0
55,180.0
56,287.0
57,212.0
58,266.0
59,141.0
60,159.0
61,86.0
62,189.0
63,174.0
64,233.0
65,158.0
66,287.0
67,178.0
68,155.0
69,186.0
70,248.0
71,91.0
72,233.0
73,32.0
74,203.0
75,178.0
76,130.0
77,143.0
78,109.0
79,162.0
80,177.0
81,93.0
82,174.0
83,130.0
84,137.0
85,161.0
86,218.0
87,80.0
88,214.0
89,245.0
90,213.0
91,138.0
92,194.0
93,111.0
94,137.0
95,122.0
96,147.0
97,120.0
98,193.0
99,194.0
100,116.0
101,216.0
102,100.0
103,184.0
104,164.0
105,150.0
106,144.0
107,298.0
108,230.0
109,187.0
110,221.0
111,182.0
112,165.0
113,145.0
114,195.0
115,178.0
116,169.0
117,151.0
118,202.0
119,111.0
120,140.0
121,108.0
122,139.0
123,217.0
124,261.0
125,97.0
126,236.0
127,82.0
128,177.0
129,155.0
130,158.0
131,64.0
132,201.0
133,82.0
134,163.0
135,173.0
136,285.0
137,184.0
138,86.0
139,147.0
140,275.0
141,183.0
142,131.0
143,244.0
144,327.0
145,144.0
146,228.0
147,143.0
148,139.0
149,181.0
150,158.0
151,144.0
152,134.0
153,186.0
154,309.0
155,294.0
156,254.0
157,163.0
158,166.0
159,141.0
160,133.0
161,296.0
162,206.0
163,71.0
164,191.0
165,69.0
166,137.0
167,110.0
168,97.0
169,83.0
170,233.0
171,184.0
172,161.0
173,186.0
174,233.0
175,183.0
176,166.0
177,170.0
178,175.0
179,183.0
180,127.0
181,215.0
182,207.0
183,146.0
184,167.0
185,202.0
186,79.0
187,180.0
188,136.0
189,195.0
190,79.0
191,144.0
192,132.0
193,184.0
194,136.0
195,178.0
196,110.0
197,194.0
198,83.0
199,205.0
