,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[0.],[[[0 0 0 0 1]]],[[17.]],[0],[51.],[[0 0 0 0 0]],"[[0.44863909 0.93773019 0.30579689 0.76701415 0.01410398 0.01495764
  0.00394735 0.199977   1.         0.         0.         0.
  0.         0.02      ]]"
1,[0.],[[[1 0 0 0 0]]],[[1.]],[1],[2.],[[0 0 0 0 0]],"[[0.65034366 0.23163083 0.56887639 0.68463731 0.00892051 0.02144986
  0.00240516 0.28258723 1.         0.         0.         0.
  0.         0.03      ]]"
2,[1.],[[[1 0 0 0 0]]],[[2.]],[1],[4.],[[0 0 0 0 0]],"[[0.63460684 0.11601    0.78533947 0.78083926 0.00711091 0.01656054
  0.00152395 0.19396527 0.         0.         0.         0.
  1.         0.04      ]]"
3,[0.],[[[0 0 0 0 1]]],[[18.]],[0],[54.],[[0 0 0 0 0]],"[[7.19808459e-01 8.73133063e-01 8.23837996e-01 9.39121306e-01
  1.93979463e-03 1.35853025e-03 3.21978790e-04 5.72583899e-02
  1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 5.00000000e-02]]"
4,[0.],[[[1 0 0 0 0]]],[[1.]],[1],[2.],[[0 0 0 0 0]],"[[ 0.68398631 -0.15238404  0.83735704  0.72102171  0.00716608  0.02389347
   0.00159112  0.24632762  1.          0.          0.          0.
   0.          0.06      ]]"
5,[4.],[[[1 0 0 0 0]]],[[2.]],[3],[1.],[[0 0 0 0 0]],"[[0.57551932 0.02507725 0.91017628 0.81864041 0.00741049 0.01762258
  0.0013808  0.1549457  1.         0.         0.         0.
  0.         0.07      ]]"
6,[0.],[[[1 0 0 0 0]]],[[0.001]],[3],[0.],[[0 0 0 0 0]],"[[0.56758499 0.06843092 0.93882185 0.84285814 0.00681312 0.01475004
  0.00120718 0.13437149 1.         0.         0.         0.
  0.         0.08      ]]"
7,[9.],[[[1 0 0 0 0]]],[[4.]],[3],[3.],[[0 0 0 0 0]],"[[0.46436596 0.18427049 0.95602906 0.87327951 0.00801638 0.01435467
  0.00130119 0.10304826 1.         0.         0.         0.
  0.         0.09      ]]"
8,[4.],[[[1 0 0 0 0]]],[[2.]],[3],[1.],[[0 0 0 0 0]],"[[0.46889001 0.25923383 0.9707405  0.89267033 0.0069614  0.01095285
  0.00108607 0.08832929 1.         0.         0.         0.
  0.         0.1       ]]"
9,[2.],[[[1 0 0 0 0]]],[[1.]],[3],[0.],[[0 0 0 0 0]],"[[0.49134886 0.22631602 0.97845221 0.88969421 0.00661918 0.01086129
  0.00104063 0.09178473 1.         0.         0.         0.
  0.         0.11      ]]"
