trial_number, time, schedule_type, schedule_name, is_biased_choice, side_choice, RT, observed_reward, unobserved_reward, biased_reward, unbiased_reward
0,2020-02-24 05:36:57am, DYNAMIC, random_0, false, RIGHT, 6794, 0.0, 1.0, 1.0, 0.0
1,2020-02-24 05:37:01am, DYNAMIC, random_0, true, LEFT, 4848, 1.0, 0.0, 1.0, 0.0
2,2020-02-24 05:37:05am, DYNAMIC, random_0, true, LEFT, 3304, 1.0, 0.0, 1.0, 0.0
3,2020-02-24 05:37:08am, DYNAMIC, random_0, true, LEFT, 3264, 1.0, 0.0, 1.0, 0.0
4,2020-02-24 05:37:11am, DYNAMIC, random_0, true, LEFT, 2816, 1.0, 0.0, 1.0, 0.0
5,2020-02-24 05:37:13am, DYNAMIC, random_0, true, LEFT, 2728, 1.0, 0.0, 1.0, 0.0
6,2020-02-24 05:37:17am, DYNAMIC, random_0, true, LEFT, 3057, 0.0, 0.0, 0.0, 0.0
7,2020-02-24 05:37:19am, DYNAMIC, random_0, false, RIGHT, 2863, 0.0, 0.0, 0.0, 0.0
8,2020-02-24 05:37:22am, DYNAMIC, random_0, false, RIGHT, 2983, 0.0, 0.0, 0.0, 0.0
9,2020-02-24 05:37:25am, DYNAMIC, random_0, true, LEFT, 2624, 0.0, 0.0, 0.0, 0.0
10,2020-02-24 05:37:28am, DYNAMIC, random_0, true, LEFT, 2784, 0.0, 0.0, 0.0, 0.0
11,2020-02-24 05:37:30am, DYNAMIC, random_0, true, LEFT, 2560, 0.0, 0.0, 0.0, 0.0
12,2020-02-24 05:37:33am, DYNAMIC, random_0, false, RIGHT, 2672, 0.0, 1.0, 1.0, 0.0
13,2020-02-24 05:37:36am, DYNAMIC, random_0, true, LEFT, 2617, 0.0, 0.0, 0.0, 0.0
14,2020-02-24 05:37:38am, DYNAMIC, random_0, true, LEFT, 2568, 0.0, 0.0, 0.0, 0.0
15,2020-02-24 05:37:41am, DYNAMIC, random_0, true, LEFT, 2536, 0.0, 0.0, 0.0, 0.0
16,2020-02-24 05:37:44am, DYNAMIC, random_0, false, RIGHT, 2953, 0.0, 1.0, 1.0, 0.0
17,2020-02-24 05:37:47am, DYNAMIC, random_0, false, RIGHT, 2991, 0.0, 0.0, 0.0, 0.0
18,2020-02-24 05:37:50am, DYNAMIC, random_0, false, RIGHT, 3328, 0.0, 0.0, 0.0, 0.0
19,2020-02-24 05:37:53am, DYNAMIC, random_0, false, RIGHT, 2578, 0.0, 0.0, 0.0, 0.0
20,2020-02-24 05:37:55am, DYNAMIC, random_0, false, RIGHT, 2494, 0.0, 0.0, 0.0, 0.0
21,2020-02-24 05:37:58am, DYNAMIC, random_0, false, RIGHT, 2528, 0.0, 0.0, 0.0, 0.0
22,2020-02-24 05:38:00am, DYNAMIC, random_0, true, LEFT, 2632, 0.0, 0.0, 0.0, 0.0
23,2020-02-24 05:38:03am, DYNAMIC, random_0, true, LEFT, 2705, 0.0, 0.0, 0.0, 0.0
24,2020-02-24 05:38:06am, DYNAMIC, random_0, true, LEFT, 2607, 1.0, 0.0, 1.0, 0.0
