trial_number, time, schedule_type, schedule_name, is_biased_choice, side_choice, RT, observed_reward, unobserved_reward, biased_reward, unbiased_reward
0,2020-02-24 05:19:28am, DYNAMIC, random_0, false, LEFT, 2143, 0.0, 1.0, 1.0, 0.0
1,2020-02-24 05:19:33am, DYNAMIC, random_0, true, RIGHT, 4569, 1.0, 0.0, 1.0, 0.0
2,2020-02-24 05:19:37am, DYNAMIC, random_0, true, RIGHT, 3987, 1.0, 0.0, 1.0, 0.0
3,2020-02-24 05:19:41am, DYNAMIC, random_0, true, RIGHT, 4853, 1.0, 0.0, 1.0, 0.0
4,2020-02-24 05:19:45am, DYNAMIC, random_0, true, RIGHT, 3640, 1.0, 0.0, 1.0, 0.0
5,2020-02-24 05:19:50am, DYNAMIC, random_0, true, RIGHT, 3963, 1.0, 0.0, 1.0, 0.0
6,2020-02-24 05:19:53am, DYNAMIC, random_0, false, LEFT, 4021, 0.0, 0.0, 0.0, 0.0
7,2020-02-24 05:19:57am, DYNAMIC, random_0, true, RIGHT, 3508, 0.0, 0.0, 0.0, 0.0
8,2020-02-24 05:20:00am, DYNAMIC, random_0, true, RIGHT, 3412, 0.0, 0.0, 0.0, 0.0
9,2020-02-24 05:20:03am, DYNAMIC, random_0, true, RIGHT, 3016, 0.0, 0.0, 0.0, 0.0
10,2020-02-24 05:20:07am, DYNAMIC, random_0, false, LEFT, 4369, 0.0, 0.0, 0.0, 0.0
11,2020-02-24 05:20:11am, DYNAMIC, random_0, true, RIGHT, 3617, 0.0, 0.0, 0.0, 0.0
12,2020-02-24 05:20:15am, DYNAMIC, random_0, true, RIGHT, 3921, 0.0, 0.0, 0.0, 0.0
13,2020-02-24 05:20:19am, DYNAMIC, random_0, false, LEFT, 4085, 0.0, 0.0, 0.0, 0.0
14,2020-02-24 05:20:22am, DYNAMIC, random_0, true, RIGHT, 3403, 0.0, 0.0, 0.0, 0.0
15,2020-02-24 05:20:26am, DYNAMIC, random_0, true, RIGHT, 3368, 0.0, 0.0, 0.0, 0.0
16,2020-02-24 05:20:30am, DYNAMIC, random_0, false, LEFT, 3849, 0.0, 0.0, 0.0, 0.0
