trial_number, time, schedule_type, schedule_name, is_biased_choice, side_choice, RT, observed_reward, unobserved_reward, biased_reward, unbiased_reward
0,2020-02-24 05:34:02am, DYNAMIC, random_0, false, RIGHT, 9118, 0.0, 1.0, 1.0, 0.0
1,2020-02-24 05:34:20am, DYNAMIC, random_0, false, RIGHT, 19005, 0.0, 1.0, 1.0, 0.0
2,2020-02-24 05:34:37am, DYNAMIC, random_0, true, LEFT, 16927, 1.0, 0.0, 1.0, 0.0
3,2020-02-24 05:34:47am, DYNAMIC, random_0, true, LEFT, 9629, 1.0, 0.0, 1.0, 0.0
4,2020-02-24 05:34:51am, DYNAMIC, random_0, true, LEFT, 4046, 1.0, 0.0, 1.0, 0.0
5,2020-02-24 05:34:55am, DYNAMIC, random_0, true, LEFT, 4335, 1.0, 0.0, 1.0, 0.0
6,2020-02-24 05:35:00am, DYNAMIC, random_0, true, LEFT, 4342, 1.0, 1.0, 1.0, 1.0
7,2020-02-24 05:35:04am, DYNAMIC, random_0, true, LEFT, 3860, 0.0, 0.0, 0.0, 0.0
8,2020-02-24 05:35:07am, DYNAMIC, random_0, true, LEFT, 3948, 0.0, 0.0, 0.0, 0.0
9,2020-02-24 05:35:11am, DYNAMIC, random_0, true, LEFT, 3623, 1.0, 0.0, 1.0, 0.0
10,2020-02-24 05:35:16am, DYNAMIC, random_0, true, LEFT, 4757, 1.0, 0.0, 1.0, 0.0
11,2020-02-24 05:35:20am, DYNAMIC, random_0, true, LEFT, 3841, 1.0, 1.0, 1.0, 1.0
12,2020-02-24 05:35:32am, DYNAMIC, random_0, true, LEFT, 12016, 1.0, 1.0, 1.0, 1.0
13,2020-02-24 05:35:35am, DYNAMIC, random_0, true, LEFT, 3726, 1.0, 1.0, 1.0, 1.0
14,2020-02-24 05:35:48am, DYNAMIC, random_0, true, LEFT, 12765, 1.0, 1.0, 1.0, 1.0
15,2020-02-24 05:35:52am, DYNAMIC, random_0, true, LEFT, 3449, 1.0, 1.0, 1.0, 1.0
16,2020-02-24 05:35:55am, DYNAMIC, random_0, true, LEFT, 3435, 1.0, 1.0, 1.0, 1.0
17,2020-02-24 05:35:58am, DYNAMIC, random_0, true, LEFT, 3311, 0.0, 1.0, 0.0, 1.0
18,2020-02-24 05:36:02am, DYNAMIC, random_0, true, LEFT, 3924, 0.0, 1.0, 0.0, 1.0
19,2020-02-24 05:36:06am, DYNAMIC, random_0, true, LEFT, 4135, 1.0, 1.0, 1.0, 1.0
20,2020-02-24 05:36:10am, DYNAMIC, random_0, true, LEFT, 3834, 0.0, 1.0, 0.0, 1.0
21,2020-02-24 05:36:14am, DYNAMIC, random_0, true, LEFT, 3621, 1.0, 1.0, 1.0, 1.0
22,2020-02-24 05:36:18am, DYNAMIC, random_0, true, LEFT, 3865, 0.0, 1.0, 0.0, 1.0
23,2020-02-24 05:36:21am, DYNAMIC, random_0, true, LEFT, 3648, 0.0, 1.0, 0.0, 1.0
24,2020-02-24 05:36:25am, DYNAMIC, random_0, true, LEFT, 3446, 0.0, 1.0, 0.0, 1.0
25,2020-02-24 05:36:28am, DYNAMIC, random_0, true, LEFT, 3368, 1.0, 1.0, 1.0, 1.0
26,2020-02-24 05:36:31am, DYNAMIC, random_0, true, LEFT, 3074, 0.0, 1.0, 0.0, 1.0
27,2020-02-24 05:36:34am, DYNAMIC, random_0, true, LEFT, 3172, 0.0, 1.0, 0.0, 1.0
28,2020-02-24 05:36:38am, DYNAMIC, random_0, true, LEFT, 3758, 0.0, 1.0, 0.0, 1.0
29,2020-02-24 05:36:42am, DYNAMIC, random_0, true, LEFT, 3584, 0.0, 1.0, 0.0, 1.0
30,2020-02-24 05:36:46am, DYNAMIC, random_0, true, LEFT, 3873, 0.0, 1.0, 0.0, 1.0
31,2020-02-24 05:36:49am, DYNAMIC, random_0, true, LEFT, 3476, 1.0, 1.0, 1.0, 1.0
32,2020-02-24 05:36:53am, DYNAMIC, random_0, true, LEFT, 3978, 0.0, 1.0, 0.0, 1.0
33,2020-02-24 05:36:57am, DYNAMIC, random_0, true, LEFT, 3423, 0.0, 1.0, 0.0, 1.0
34,2020-02-24 05:37:00am, DYNAMIC, random_0, true, LEFT, 3525, 0.0, 1.0, 0.0, 1.0
35,2020-02-24 05:37:03am, DYNAMIC, random_0, true, LEFT, 3174, 0.0, 0.0, 0.0, 0.0
36,2020-02-24 05:37:06am, DYNAMIC, random_0, true, LEFT, 3088, 1.0, 0.0, 1.0, 0.0
37,2020-02-24 05:37:11am, DYNAMIC, random_0, true, LEFT, 4787, 0.0, 0.0, 0.0, 0.0
38,2020-02-24 05:37:15am, DYNAMIC, random_0, true, LEFT, 3722, 0.0, 0.0, 0.0, 0.0
39,2020-02-24 05:37:18am, DYNAMIC, random_0, true, LEFT, 3577, 0.0, 0.0, 0.0, 0.0
40,2020-02-24 05:37:22am, DYNAMIC, random_0, true, LEFT, 3962, 0.0, 0.0, 0.0, 0.0
41,2020-02-24 05:37:25am, DYNAMIC, random_0, true, LEFT, 3032, 1.0, 0.0, 1.0, 0.0
42,2020-02-24 05:37:29am, DYNAMIC, random_0, true, LEFT, 3207, 0.0, 0.0, 0.0, 0.0
43,2020-02-24 05:37:32am, DYNAMIC, random_0, true, LEFT, 3780, 0.0, 0.0, 0.0, 0.0
44,2020-02-24 05:37:36am, DYNAMIC, random_0, true, LEFT, 3473, 0.0, 0.0, 0.0, 0.0
45,2020-02-24 05:37:39am, DYNAMIC, random_0, true, LEFT, 3411, 0.0, 0.0, 0.0, 0.0
46,2020-02-24 05:37:43am, DYNAMIC, random_0, true, LEFT, 3831, 0.0, 0.0, 0.0, 0.0
47,2020-02-24 05:37:47am, DYNAMIC, random_0, true, LEFT, 3492, 0.0, 0.0, 0.0, 0.0
48,2020-02-24 05:37:50am, DYNAMIC, random_0, true, LEFT, 3380, 1.0, 0.0, 1.0, 0.0
49,2020-02-24 05:37:54am, DYNAMIC, random_0, true, LEFT, 4257, 0.0, 0.0, 0.0, 0.0
50,2020-02-24 05:37:59am, DYNAMIC, random_0, true, LEFT, 4669, 0.0, 0.0, 0.0, 0.0
51,2020-02-24 05:38:02am, DYNAMIC, random_0, true, LEFT, 3357, 0.0, 0.0, 0.0, 0.0
52,2020-02-24 05:38:05am, DYNAMIC, random_0, true, LEFT, 3151, 0.0, 0.0, 0.0, 0.0
53,2020-02-24 05:38:09am, DYNAMIC, random_0, true, LEFT, 3233, 0.0, 0.0, 0.0, 0.0
54,2020-02-24 05:38:12am, DYNAMIC, random_0, true, LEFT, 3017, 0.0, 0.0, 0.0, 0.0
55,2020-02-24 05:38:15am, DYNAMIC, random_0, true, LEFT, 3119, 0.0, 0.0, 0.0, 0.0
56,2020-02-24 05:38:20am, DYNAMIC, random_0, true, LEFT, 5553, 0.0, 0.0, 0.0, 0.0
57,2020-02-24 05:38:24am, DYNAMIC, random_0, true, LEFT, 3916, 0.0, 0.0, 0.0, 0.0
