trial_number, time, schedule_type, schedule_name, is_biased_choice, side_choice, RT, observed_reward, unobserved_reward, biased_reward, unbiased_reward
0,2020-02-24 05:24:43am, DYNAMIC, random_0, true, RIGHT, 7558, 1.0, 0.0, 1.0, 0.0
1,2020-02-24 05:24:47am, DYNAMIC, random_0, false, LEFT, 4711, 0.0, 1.0, 1.0, 0.0
2,2020-02-24 05:24:51am, DYNAMIC, random_0, true, RIGHT, 4570, 1.0, 0.0, 1.0, 0.0
3,2020-02-24 05:24:55am, DYNAMIC, random_0, true, RIGHT, 3564, 1.0, 0.0, 1.0, 0.0
4,2020-02-24 05:24:59am, DYNAMIC, random_0, false, LEFT, 3852, 0.0, 1.0, 1.0, 0.0
5,2020-02-24 05:25:03am, DYNAMIC, random_0, true, RIGHT, 3564, 0.0, 0.0, 0.0, 0.0
6,2020-02-24 05:25:06am, DYNAMIC, random_0, false, LEFT, 3832, 0.0, 0.0, 0.0, 0.0
7,2020-02-24 05:25:10am, DYNAMIC, random_0, true, RIGHT, 3650, 0.0, 0.0, 0.0, 0.0
8,2020-02-24 05:25:14am, DYNAMIC, random_0, true, RIGHT, 3997, 0.0, 0.0, 0.0, 0.0
9,2020-02-24 05:25:18am, DYNAMIC, random_0, false, LEFT, 3802, 0.0, 1.0, 1.0, 0.0
10,2020-02-24 05:25:23am, DYNAMIC, random_0, true, RIGHT, 5136, 0.0, 0.0, 0.0, 0.0
11,2020-02-24 05:25:28am, DYNAMIC, random_0, true, RIGHT, 4818, 0.0, 0.0, 0.0, 0.0
12,2020-02-24 05:25:32am, DYNAMIC, random_0, false, LEFT, 4025, 0.0, 1.0, 1.0, 0.0
13,2020-02-24 05:25:36am, DYNAMIC, random_0, true, RIGHT, 3727, 0.0, 0.0, 0.0, 0.0
14,2020-02-24 05:25:40am, DYNAMIC, random_0, false, LEFT, 4474, 0.0, 0.0, 0.0, 0.0
15,2020-02-24 05:25:46am, DYNAMIC, random_0, true, RIGHT, 5959, 0.0, 0.0, 0.0, 0.0
16,2020-02-24 05:25:50am, DYNAMIC, random_0, false, LEFT, 4370, 0.0, 0.0, 0.0, 0.0
17,2020-02-24 05:26:26am, DYNAMIC, random_0, false, LEFT, 35534, 0.0, 0.0, 0.0, 0.0
18,2020-02-24 05:26:31am, DYNAMIC, random_0, true, RIGHT, 4790, 1.0, 0.0, 1.0, 0.0
19,2020-02-24 05:26:35am, DYNAMIC, random_0, true, RIGHT, 4216, 1.0, 0.0, 1.0, 0.0
20,2020-02-24 05:26:39am, DYNAMIC, random_0, true, RIGHT, 3776, 1.0, 0.0, 1.0, 0.0
21,2020-02-24 05:26:42am, DYNAMIC, random_0, true, RIGHT, 3699, 1.0, 0.0, 1.0, 0.0
22,2020-02-24 05:26:47am, DYNAMIC, random_0, true, RIGHT, 4189, 1.0, 1.0, 1.0, 1.0
23,2020-02-24 05:26:50am, DYNAMIC, random_0, true, RIGHT, 3584, 1.0, 1.0, 1.0, 1.0
24,2020-02-24 05:26:54am, DYNAMIC, random_0, true, RIGHT, 3975, 1.0, 1.0, 1.0, 1.0
25,2020-02-24 05:26:58am, DYNAMIC, random_0, true, RIGHT, 4054, 0.0, 0.0, 0.0, 0.0
26,2020-02-24 05:27:01am, DYNAMIC, random_0, false, LEFT, 3059, 0.0, 0.0, 0.0, 0.0
27,2020-02-24 05:27:05am, DYNAMIC, random_0, false, LEFT, 3954, 0.0, 0.0, 0.0, 0.0
28,2020-02-24 05:27:09am, DYNAMIC, random_0, false, LEFT, 4445, 0.0, 0.0, 0.0, 0.0
29,2020-02-24 05:27:13am, DYNAMIC, random_0, true, RIGHT, 2895, 0.0, 0.0, 0.0, 0.0
30,2020-02-24 05:27:17am, DYNAMIC, random_0, true, RIGHT, 4254, 0.0, 0.0, 0.0, 0.0
31,2020-02-24 05:27:21am, DYNAMIC, random_0, true, RIGHT, 3831, 0.0, 0.0, 0.0, 0.0
32,2020-02-24 05:27:24am, DYNAMIC, random_0, false, LEFT, 3402, 0.0, 1.0, 1.0, 0.0
33,2020-02-24 05:27:29am, DYNAMIC, random_0, true, RIGHT, 4876, 0.0, 0.0, 0.0, 0.0
34,2020-02-24 05:27:32am, DYNAMIC, random_0, false, LEFT, 3210, 0.0, 0.0, 0.0, 0.0
35,2020-02-24 05:27:36am, DYNAMIC, random_0, true, RIGHT, 4103, 0.0, 0.0, 0.0, 0.0
36,2020-02-24 05:27:40am, DYNAMIC, random_0, true, RIGHT, 3475, 0.0, 0.0, 0.0, 0.0
37,2020-02-24 05:27:43am, DYNAMIC, random_0, true, RIGHT, 3105, 1.0, 0.0, 1.0, 0.0
38,2020-02-24 05:27:46am, DYNAMIC, random_0, true, RIGHT, 3631, 1.0, 1.0, 1.0, 1.0
39,2020-02-24 05:27:50am, DYNAMIC, random_0, true, RIGHT, 3277, 1.0, 1.0, 1.0, 1.0
40,2020-02-24 05:27:53am, DYNAMIC, random_0, true, RIGHT, 3583, 1.0, 1.0, 1.0, 1.0
41,2020-02-24 05:27:57am, DYNAMIC, random_0, true, RIGHT, 4091, 1.0, 1.0, 1.0, 1.0
42,2020-02-24 05:28:01am, DYNAMIC, random_0, true, RIGHT, 3554, 1.0, 1.0, 1.0, 1.0
43,2020-02-24 05:28:05am, DYNAMIC, random_0, true, RIGHT, 4224, 1.0, 1.0, 1.0, 1.0
44,2020-02-24 05:28:09am, DYNAMIC, random_0, true, RIGHT, 3516, 1.0, 1.0, 1.0, 1.0
45,2020-02-24 05:28:12am, DYNAMIC, random_0, true, RIGHT, 3325, 1.0, 1.0, 1.0, 1.0
46,2020-02-24 05:28:16am, DYNAMIC, random_0, true, RIGHT, 4444, 1.0, 1.0, 1.0, 1.0
47,2020-02-24 05:28:20am, DYNAMIC, random_0, true, RIGHT, 3372, 0.0, 1.0, 0.0, 1.0
48,2020-02-24 05:28:25am, DYNAMIC, random_0, false, LEFT, 5365, 1.0, 0.0, 0.0, 1.0
49,2020-02-24 05:28:29am, DYNAMIC, random_0, false, LEFT, 4302, 0.0, 0.0, 0.0, 0.0
50,2020-02-24 05:28:33am, DYNAMIC, random_0, false, LEFT, 3352, 0.0, 0.0, 0.0, 0.0
51,2020-02-24 05:28:36am, DYNAMIC, random_0, true, RIGHT, 3612, 0.0, 0.0, 0.0, 0.0
52,2020-02-24 05:28:40am, DYNAMIC, random_0, false, LEFT, 3621, 0.0, 0.0, 0.0, 0.0
53,2020-02-24 05:28:47am, DYNAMIC, random_0, true, RIGHT, 6983, 0.0, 0.0, 0.0, 0.0
54,2020-02-24 05:28:52am, DYNAMIC, random_0, true, RIGHT, 4944, 0.0, 0.0, 0.0, 0.0
55,2020-02-24 05:28:56am, DYNAMIC, random_0, false, LEFT, 4185, 0.0, 0.0, 0.0, 0.0
56,2020-02-24 05:29:08am, DYNAMIC, random_0, true, RIGHT, 12104, 0.0, 0.0, 0.0, 0.0
57,2020-02-24 05:29:16am, DYNAMIC, random_0, true, RIGHT, 7416, 0.0, 0.0, 0.0, 0.0
58,2020-02-24 05:29:19am, DYNAMIC, random_0, false, LEFT, 3707, 0.0, 0.0, 0.0, 0.0
