,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[33.],[[[0 0 1 0 0]]],[[11.]],[4],[0.],[[0 0 0 0 0]],"[[-1.71697035e-01  8.36946547e-01 -9.56240058e-01  1.37309090e-03
   7.81568542e-06  1.74577460e-01  6.26571402e-02  7.61384547e-01
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  2.00000000e-01]]"
1,[13.],[[[0 0 1 0 0]]],[[9.]],[2],[13.],[[0 0 0 0 0]],"[[-0.39424708  0.62258863  0.13901505  0.08544448  0.00308103  0.89156675
   0.01200254  0.0079052   0.          0.          1.          0.
   0.          0.3       ]]"
2,[27.],[[[0 0 1 0 0]]],[[9.]],[4],[0.],[[0 0 0 0 0]],"[[-4.51123714e-01  7.36775815e-01 -8.21600199e-01  8.32110818e-04
   1.75137193e-05  7.20231831e-01  3.59598026e-02  2.42958665e-01
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-01]]"
3,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[33.],[[0 0 0 0 0]],"[[-7.06455231e-01  1.33710548e-01  8.71924281e-01  2.36486755e-02
   2.73120608e-02  9.48838472e-01  1.91602827e-04  9.17068519e-06
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  5.00000000e-01]]"
4,[36.],[[[0 0 1 0 0]]],[[12.]],[4],[0.],[[0 0 0 0 0]],"[[-7.09966779e-01  8.72793853e-01 -8.44121456e-01  2.72686302e-04
   5.84049894e-06  8.40433419e-01  1.74027123e-02  1.41885370e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.00000000e+00  6.00000000e-01]]"
5,[15.],[[[0 0 0 0 1]]],[[20.]],[1],[45.],[[0 0 0 0 0]],"[[-7.23892212e-01  9.95760381e-01 -5.37981689e-01  2.18145992e-03
   2.67114592e-05  8.91938150e-01  1.74300279e-02  8.84236470e-02
   0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00
   0.00000000e+00  7.00000000e-01]]"
6,[48.],[[[0 0 0 1 0]]],[[16.]],[4],[0.],[[0 0 0 0 0]],"[[-7.52422333e-01  9.81589139e-01 -7.63014793e-01  5.23711671e-04
   7.27890483e-06  8.36515129e-01  1.79138090e-02  1.45040080e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.00000000e+00  8.00000000e-01]]"
7,[15.],[[[0 0 0 0 1]]],[[20.]],[1],[45.],[[0 0 0 0 0]],"[[-7.73286760e-01  9.95768189e-01 -5.79398990e-01  1.26773026e-03
   1.77244456e-05  9.05713618e-01  1.43986437e-02  7.86023065e-02
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[0.],[[[0 0 1 0 0]]],[[12.]],[0],[36.],[[0 0 0 0 0]],"[[-9.65032339e-01 -1.18257746e-01  6.63013577e-01  3.65048676e-04
   3.08940629e-03  9.96514916e-01  2.93308331e-05  1.30013541e-06
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[33.],[[0 0 0 0 0]],"[[-9.66607392e-01  4.20066297e-01  9.31132555e-01  2.19985079e-02
   1.20846359e-02  9.65790391e-01  1.19066222e-04  7.45565330e-06
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  1.10000000e+00]]"
