,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[36.],[[[0 0 1 0 0]]],[[12.]],[4],[0.],[[0 0 0 0 0]],"[[-1.71398059e-01  8.72794509e-01 -9.75622237e-01  1.23497320e-03
   5.82788880e-06  1.42179266e-01  5.90049401e-02  7.97575057e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.00000000e+00  2.00000000e-01]]"
1,[13.],[[[0 0 0 0 1]]],[[18.]],[1],[40.],[[0 0 0 0 0]],"[[-0.18837811  0.99589175  0.00678244  0.5286451   0.00155213  0.32135591
   0.05208765  0.09635929  1.          0.          0.          0.
   0.          0.3       ]]"
2,[9.],[[[1 0 0 0 0]]],[[3.]],[4],[0.],[[0 0 0 0 0]],"[[-9.79138434e-01  1.20929711e-01 -2.26788726e-02  4.37438357e-05
   1.04047824e-04  9.99661565e-01  1.45352533e-04  4.52546483e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-01]]"
3,[36.],[[[0 0 1 0 0]]],[[12.]],[4],[0.],[[0 0 0 0 0]],"[[-9.79465961e-01  8.72793853e-01 -9.50496614e-01  2.58733107e-05
   1.15844489e-06  9.43932176e-01  5.43739880e-03  5.06035313e-02
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.00000000e+00  5.00000000e-01]]"
4,[14.],[[[0 0 0 0 1]]],[[19.]],[1],[42.],[[0 0 0 0 0]],"[[-9.81034756e-01  9.95193005e-01 -7.39452243e-01  1.35512222e-04
   3.32522222e-06  9.49016154e-01  6.20688312e-03  4.46382500e-02
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-01]]"
5,[0.],[[[0 0 1 0 0]]],[[9.]],[0],[27.],[[0 0 0 0 0]],"[[-9.97814119e-01 -4.47149932e-01  5.46319902e-01  2.87716994e-05
   1.42951787e-03  9.98531699e-01  9.65913750e-06  3.07892890e-07
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  7.00000000e-01]]"
6,[18.],[[[0 0 1 0 0]]],[[12.]],[2],[18.],[[0 0 0 0 0]],"[[-9.97822523e-01  4.94674742e-01  2.69393533e-01  1.12377142e-03
   4.25483304e-04  9.98041511e-01  3.12261313e-04  9.68231980e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-01]]"
7,[7.],[[[0 0 1 0 0]]],[[10.]],[1],[22.],[[0 0 0 0 0]],"[[-9.98631835e-01  1.86923832e-01  7.52495050e-01  2.20897188e-03
   4.31341724e-03  9.93413866e-01  6.00896456e-05  3.67881012e-06
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[0.],[[[0 0 1 0 0]]],[[10.]],[0],[30.],[[0 0 0 0 0]],"[[-9.94916081e-01  4.63491470e-01  8.96509647e-01  1.92038789e-02
   9.09250788e-03  9.71569955e-01  1.24614817e-04  8.99992119e-06
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[0.],[[[0 0 1 0 0]]],[[9.]],[0],[27.],[[0 0 0 0 0]],"[[-9.21064377e-01  5.56193352e-01  9.32361960e-01  6.07250594e-02
   1.45917954e-02  9.24437881e-01  2.26960910e-04  1.83279462e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  1.10000000e+00]]"
