,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[36.],[[[0 0 1 0 0]]],[[12.]],[4],[0.],[[0 0 0 0 0]],"[[-1.71398059e-01  8.72794509e-01 -9.75622237e-01  1.23497320e-03
   5.82788880e-06  1.42179266e-01  5.90049401e-02  7.97575057e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.00000000e+00  2.00000000e-01]]"
1,[12.],[[[0 0 0 0 1]]],[[17.]],[1],[38.],[[0 0 0 0 0]],"[[-0.18939552  0.99592978  0.01414078  0.53759867  0.00158391  0.31773958
   0.05075257  0.09232534  1.          0.          0.          0.
   0.          0.3       ]]"
2,[3.],[[[1 0 0 0 0]]],[[1.]],[4],[0.],[[0 0 0 0 0]],"[[-0.09672415  0.55043709  0.01857982  0.22246104  0.00501432  0.6963262
   0.04110598  0.03509248  0.          0.          1.          0.
   0.          0.4       ]]"
3,[36.],[[[0 0 1 0 0]]],[[12.]],[4],[0.],[[0 0 0 0 0]],"[[-1.18074074e-01  8.72794867e-01 -9.68961120e-01  1.47493416e-03
   6.00555586e-06  1.11577950e-01  6.07551672e-02  8.26185942e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.00000000e+00  5.00000000e-01]]"
4,[12.],[[[0 0 0 0 1]]],[[17.]],[1],[38.],[[0 0 0 0 0]],"[[-0.13552     0.99619287  0.07347462  0.68608207  0.00174952  0.20582077
   0.04047159  0.065876    1.          0.          0.          0.
   0.          0.6       ]]"
5,[3.],[[[1 0 0 0 0]]],[[1.]],[4],[0.],[[0 0 0 0 0]],"[[0.12637296 0.59028119 0.07788599 0.65438437 0.00650501 0.24609125
  0.0496059  0.04341352 1.         0.         0.         0.
  0.         0.7       ]]"
6,[3.],[[[1 0 0 0 0]]],[[1.]],[4],[0.],[[0 0 0 0 0]],"[[-0.50405073  0.75399071  0.11650836  0.07050893  0.0017505   0.90769434
   0.01091969  0.00912664  0.          0.          1.          0.
   0.          0.8       ]]"
7,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[33.],[[0 0 0 0 0]],"[[-7.75800109e-01  7.55681157e-01  8.29468608e-01  2.45667055e-01
   1.39587382e-02  7.39382088e-01  8.60553468e-04  1.31508117e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[9.],[[[0 0 1 0 0]]],[[12.]],[1],[27.],[[0 0 0 0 0]],"[[-9.03278112e-01  2.39669800e-01  9.00237679e-01  1.16580343e-02
   1.35371638e-02  9.74704146e-01  9.58939418e-05  4.80413019e-06
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[0.],[[[0 0 1 0 0]]],[[12.]],[0],[36.],[[0 0 0 0 0]],"[[-9.07791972e-01  6.20580971e-01  9.54427779e-01  9.99351442e-02
   1.66591424e-02  8.83101821e-01  2.79747561e-04  2.42041187e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  1.10000000e+00]]"
