,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[18.],[[[0 0 1 0 0]]],[[12.]],[2],[18.],[[0 0 0 0 0]],"[[-2.16700241e-01  9.99824941e-01 -4.98062700e-01  7.05532497e-03
   3.52032594e-02  9.55647528e-01  1.10432913e-03  9.89648979e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  2.00000000e-02]]"
1,[15.],[[[0 0 1 0 0]]],[[10.]],[2],[15.],[[0 0 0 0 0]],"[[-4.97362196e-01  9.99503195e-01 -2.79376328e-01  4.87675611e-03
   1.13072932e-01  8.80545735e-01  8.24516290e-04  6.79963618e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  3.00000000e-02]]"
2,[27.],[[[0 0 1 0 0]]],[[12.]],[3],[9.],[[0 0 0 0 0]],"[[-6.35678053e-01  9.99997973e-01 -7.64668643e-01  3.01336142e-04
   1.56232566e-02  9.83642817e-01  2.21701557e-04  2.10961211e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-02]]"
3,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[33.],[[0 0 0 0 0]],"[[-0.39363629  0.35398227  0.06123894  0.02896868  0.30287418  0.65370166
   0.00681814  0.00763733  0.          0.          1.          0.
   0.          0.05      ]]"
4,[33.],[[[0 0 1 0 0]]],[[11.]],[4],[0.],[[0 0 0 0 0]],"[[-6.65522277e-01  1.00000000e+00 -8.83523822e-01  1.52103559e-04
   9.39177349e-03  9.90140140e-01  1.59076968e-04  1.56815746e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-02]]"
5,[0.],[[[0 0 1 0 0]]],[[12.]],[0],[36.],[[0 0 0 0 0]],"[[-0.46681547  0.2515392  -0.08103296  0.01271635  0.19550307  0.77797687
   0.00615172  0.00765203  1.          0.          0.          0.
   0.          0.07      ]]"
6,[0.],[[[1 0 0 0 0]]],[[0.001]],[0],[0.],[[0 0 0 0 0]],"[[-0.34419477  0.69531053 -0.47539502  0.00435657  0.04008901  0.95218384
   0.00162792  0.00174268  0.          0.          1.          0.
   0.          0.08      ]]"
7,[22.],[[[0 0 1 0 0]]],[[10.]],[3],[7.],[[0 0 0 0 0]],"[[-5.50696731e-01  9.99968886e-01 -6.75161839e-01  6.72780559e-04
   2.16349009e-02  9.77051795e-01  3.31933930e-04  3.08612274e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-02]]"
8,[20.],[[[0 0 1 0 0]]],[[9.]],[3],[6.],[[0 0 0 0 0]],"[[-6.34015322e-01  9.99882042e-01 -6.19541466e-01  5.86796959e-04
   2.97954753e-02  9.69039083e-01  3.02945293e-04  2.75590544e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e-01]]"
9,[24.],[[[0 0 1 0 0]]],[[11.]],[3],[8.],[[0 0 0 0 0]],"[[-6.93429887e-01  9.99980032e-01 -7.31929362e-01  2.67402851e-04
   1.90371070e-02  9.80296373e-01  2.05874851e-04  1.93309126e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  1.10000000e-01]]"
