,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[13.],[[[0 0 1 0 0]]],[[9.]],[2],[13.],[[0 0 0 0 0]],"[[-0.23607738  0.99841374 -0.12914509  0.03007873  0.16214551  0.80414575
   0.00201795  0.00161207  0.          1.          0.          0.
   0.          0.02      ]]"
1,[15.],[[[0 1 0 0 0]]],[[5.]],[4],[0.],[[0 0 0 0 0]],"[[-8.33434880e-01  9.99965727e-01 -9.23860297e-02  1.96521101e-03
   2.88555503e-01  7.08710432e-01  4.35921713e-04  3.32930824e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  3.00000000e-02]]"
2,[27.],[[[0 0 1 0 0]]],[[9.]],[4],[0.],[[0 0 0 0 0]],"[[-8.73512864e-01  9.99997675e-01 -6.33230567e-01  1.80432951e-04
   3.45384218e-02  9.64974225e-01  1.61336822e-04  1.45473066e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-02]]"
3,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[33.],[[0 0 0 0 0]],"[[-0.64047259  0.34858865 -0.04664007  0.00623122  0.25729227  0.72943735
   0.00327896  0.00376025  0.          0.          1.          0.
   0.          0.05      ]]"
4,[30.],[[[0 0 1 0 0]]],[[10.]],[4],[0.],[[0 0 0 0 0]],"[[-7.65432119e-01  9.99999404e-01 -8.14143896e-01  1.31404799e-04
   1.40289217e-02  9.85557258e-01  1.44140446e-04  1.38302901e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-02]]"
5,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[33.],[[0 0 0 0 0]],"[[-0.56569237  0.25958657 -0.11911076  0.0069098   0.1846585   0.79841906
   0.00445877  0.00555389  0.          0.          1.          0.
   0.          0.07      ]]"
6,[27.],[[[0 0 1 0 0]]],[[9.]],[4],[0.],[[0 0 0 0 0]],"[[-7.29958296e-01  9.99997199e-01 -8.11068237e-01  1.57180621e-04
   1.37852188e-02  9.85746741e-01  1.58535520e-04  1.52263921e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-02]]"
7,[0.],[[[0 0 1 0 0]]],[[12.]],[0],[36.],[[0 0 0 0 0]],"[[-0.52247202  0.27731308 -0.07927254  0.00981892  0.20700984  0.77196848
   0.00504746  0.00615529  0.          0.          1.          0.
   0.          0.09      ]]"
8,[27.],[[[0 0 1 0 0]]],[[9.]],[4],[0.],[[0 0 0 0 0]],"[[-7.17170060e-01  9.99997556e-01 -8.09163928e-01  1.68275699e-04
   1.37474788e-02  9.85762119e-01  1.64351732e-04  1.57866452e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e-01]]"
9,[0.],[[[0 0 1 0 0]]],[[9.]],[0],[27.],[[0 0 0 0 0]],"[[-0.5065695   0.28433675 -0.06409571  0.01118103  0.21605667  0.76110953
   0.00527413  0.0063787   0.          1.          0.          0.
   0.          0.11      ]]"
