,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[16.],[[[0 0 1 0 0]]],[[11.]],[2],[16.],[[0 0 0 0 0]],"[[-0.23132396  0.99957734 -0.36148545  0.01198117  0.06411285  0.92131954
   0.00139184  0.00119466  0.          0.          1.          0.
   0.          0.02      ]]"
1,[13.],[[[0 0 1 0 0]]],[[9.]],[2],[13.],[[0 0 0 0 0]],"[[-5.36409378e-01  9.99092221e-01 -1.08969122e-01  7.82905519e-03
   2.22250000e-01  7.68221259e-01  9.54522984e-04  7.45146011e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  3.00000000e-02]]"
2,[30.],[[[0 0 1 0 0]]],[[10.]],[4],[0.],[[0 0 0 0 0]],"[[-6.75525784e-01  9.99999702e-01 -7.91760385e-01  2.21180759e-04
   1.43290432e-02  9.85079050e-01  1.89332859e-04  1.81290903e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-02]]"
3,[0.],[[[0 0 1 0 0]]],[[10.]],[0],[30.],[[0 0 0 0 0]],"[[-0.45095181  0.31578857 -0.00426745  0.0178989   0.25540769  0.71356034
   0.00605942  0.00707367  0.          1.          0.          0.
   0.          0.05      ]]"
4,[24.],[[[0 1 0 0 0]]],[[8.]],[4],[0.],[[0 0 0 0 0]],"[[-9.00524497e-01  9.99999046e-01 -7.38379061e-01  9.89648688e-05
   2.21854281e-02  9.77482140e-01  1.20949400e-04  1.12516718e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-02]]"
5,[0.],[[[0 0 1 0 0]]],[[10.]],[0],[30.],[[0 0 0 0 0]],"[[-0.70359647  0.25766689 -0.17581856  0.00289054  0.16640663  0.82416743
   0.00289196  0.00364332  0.          0.          1.          0.
   0.          0.07      ]]"
6,[36.],[[[0 0 1 0 0]]],[[12.]],[4],[0.],[[0 0 0 0 0]],"[[-7.75568247e-01  1.00000000e+00 -8.76583219e-01  9.41468534e-05
   1.06846448e-02  9.88978446e-01  1.22754223e-04  1.20026300e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-02]]"
7,[0.],[[[0 0 1 0 0]]],[[12.]],[0],[36.],[[0 0 0 0 0]],"[[-0.59518099  0.20952792 -0.1928924   0.00453185  0.14127953  0.8446002
   0.00414499  0.00544334  0.          0.          1.          0.
   0.          0.09      ]]"
8,[27.],[[[0 0 1 0 0]]],[[9.]],[4],[0.],[[0 0 0 0 0]],"[[-7.34400153e-01  9.99996364e-01 -8.25597048e-01  1.44054851e-04
   1.29636507e-02  9.86593723e-01  1.51939952e-04  1.46554914e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e-01]]"
9,[0.],[[[0 0 1 0 0]]],[[10.]],[0],[30.],[[0 0 0 0 0]],"[[-0.53207862  0.26454073 -0.09814453  0.00876072  0.19433257  0.78584915
   0.00494541  0.00611215  1.          0.          0.          0.
   0.          0.11      ]]"
