,adv action,condition,git,investment,repay
0,[2],"""adv""","('644a2f6ca9ee7e9393d0632bffcb05fe8e280b8a', 'vec')",9,[13.5]
1,[2],"""adv""","('644a2f6ca9ee7e9393d0632bffcb05fe8e280b8a', 'vec')",15,[22.5]
2,[3],"""adv""","('644a2f6ca9ee7e9393d0632bffcb05fe8e280b8a', 'vec')",5,[11.25]
3,[2],"""adv""","('644a2f6ca9ee7e9393d0632bffcb05fe8e280b8a', 'vec')",20,[30.]
4,[1],"""adv""","('644a2f6ca9ee7e9393d0632bffcb05fe8e280b8a', 'vec')",10,[7.5]
5,[1],"""adv""","('644a2f6ca9ee7e9393d0632bffcb05fe8e280b8a', 'vec')",15,[11.25]
6,[2],"""adv""","('644a2f6ca9ee7e9393d0632bffcb05fe8e280b8a', 'vec')",14,[21.]
7,[1],"""adv""","('644a2f6ca9ee7e9393d0632bffcb05fe8e280b8a', 'vec')",14,[10.5]
8,[2],"""adv""","('644a2f6ca9ee7e9393d0632bffcb05fe8e280b8a', 'vec')",15,[22.5]
9,[1],"""adv""","('644a2f6ca9ee7e9393d0632bffcb05fe8e280b8a', 'vec')",20,[15.]
