,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[15.],[[[0 0 1 0 0]]],[[10.]],[2],[15.],[[0 0 0 0 0]],"[[-0.23604636  0.9993431  -0.28683484  0.01607163  0.08774742  0.89328432
   0.00157544  0.00132107  0.          0.          1.          0.
   0.          0.2       ]]"
1,[8.],[[[0 0 1 0 0]]],[[11.]],[1],[24.],[[0 0 0 0 0]],"[[-0.42392141  0.99301583  0.26550046  0.03838391  0.56624997  0.39280626
   0.00150421  0.0010556   0.          0.          1.          0.
   0.          0.3       ]]"
2,[9.],[[[0 0 1 0 0]]],[[12.]],[1],[27.],[[0 0 0 0 0]],"[[-6.36418998e-01  9.98361766e-01  3.44995081e-01  1.47776213e-02
   7.03585684e-01  2.80385911e-01  7.47004582e-04  5.03832707e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-01]]"
3,[8.],[[[0 0 1 0 0]]],[[11.]],[1],[24.],[[0 0 0 0 0]],"[[-7.02775598e-01  9.97146070e-01  4.48609680e-01  1.17386691e-02
   8.00043702e-01  1.87335357e-01  5.34320774e-04  3.47960828e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  5.00000000e-01]]"
4,[6.],[[[0 0 1 0 0]]],[[9.]],[1],[20.],[[0 0 0 0 0]],"[[-6.50368452e-01  9.94058490e-01  5.91908514e-01  1.72883291e-02
   8.70676637e-01  1.11221619e-01  5.00323542e-04  3.13116703e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-01]]"
5,[10.],[[[0 1 0 0 0]]],[[7.]],[2],[10.],[[0 0 0 0 0]],"[[-8.50927949e-01  9.99894679e-01  8.34988952e-01  6.38952432e-03
   9.59622264e-01  3.37424465e-02  1.56357361e-04  8.94115656e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  7.00000000e-01]]"
6,[5.],[[[0 1 0 0 0]]],[[7.]],[1],[15.],[[0 0 0 0 0]],"[[-7.42141187e-01  9.99276221e-01  9.68309999e-01  1.18922954e-02
   9.67435360e-01  2.04131659e-02  1.66963931e-04  9.21789833e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-01]]"
7,[0.],[[[0 1 0 0 0]]],[[6.]],[0],[18.],[[0 0 0 0 0]],"[[-3.78104210e-01  9.96799171e-01  9.89428341e-01  8.25636163e-02
   8.92931640e-01  2.37166137e-02  5.05091040e-04  2.83021975e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[0.],[[[0 1 0 0 0]]],[[7.]],[0],[21.],[[0 0 0 0 0]],"[[-6.68057576e-02  9.97520208e-01  9.84529972e-01  3.32728326e-01
   6.42566025e-01  2.30549071e-02  1.05107855e-03  5.99677791e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[0.],[[[0 1 0 0 0]]],[[7.]],[0],[21.],[[0 0 0 0 0]],"[[2.35130414e-01 9.98369992e-01 9.74238932e-01 7.22580850e-01
  2.62559205e-01 1.29334405e-02 1.21816609e-03 7.08424777e-04
  0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 1.10000000e+00]]"
