,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[13.],[[[0 0 1 0 0]]],[[9.]],[2],[13.],[[0 0 0 0 0]],"[[-0.23607738  0.99841374 -0.12914509  0.03007872  0.1621455   0.80414569
   0.00201795  0.00161207  0.          0.          1.          0.
   0.          0.2       ]]"
1,[8.],[[[0 0 1 0 0]]],[[11.]],[1],[24.],[[0 0 0 0 0]],"[[-4.38337058e-01  9.95119989e-01  3.01275551e-01  3.80621813e-02
   6.06799126e-01  3.52761000e-01  1.40486669e-03  9.72924114e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  3.00000000e-01]]"
2,[10.],[[[0 1 0 0 0]]],[[7.]],[2],[10.],[[0 0 0 0 0]],"[[-7.75588214e-01  9.99847531e-01  5.48821628e-01  8.59260745e-03
   8.70074570e-01  1.20751694e-01  3.57075303e-04  2.24124073e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-01]]"
3,[15.],[[[0 1 0 0 0]]],[[7.]],[3],[5.],[[0 0 0 0 0]],"[[-9.43754554e-01  9.99984682e-01  7.50950515e-01  3.76159372e-03
   9.50874925e-01  4.51452583e-02  1.37755720e-04  8.04480442e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  5.00000000e-01]]"
4,[24.],[[[0 1 0 0 0]]],[[8.]],[4],[0.],[[0 0 0 0 0]],"[[-9.88307536e-01  1.00000000e+00  8.55764985e-01  3.02189100e-03
   9.69413698e-01  2.74166670e-02  9.45500724e-05  5.33151288e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-01]]"
5,[6.],[[[0 1 0 0 0]]],[[8.]],[1],[18.],[[0 0 0 0 0]],"[[-8.31203401e-01  9.99457777e-01  9.72697377e-01  7.31391460e-03
   9.73897219e-01  1.85982119e-02  1.23064470e-04  6.75136253e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  7.00000000e-01]]"
6,[3.],[[[0 1 0 0 0]]],[[5.]],[1],[11.],[[0 0 0 0 0]],"[[-6.56602919e-01  9.98771310e-01  9.89750087e-01  1.90003458e-02
   9.60822642e-01  1.98499728e-02  2.10849335e-04  1.16211202e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-01]]"
7,[0.],[[[0 1 0 0 0]]],[[8.]],[0],[24.],[[0 0 0 0 0]],"[[-3.18311602e-01  9.97113466e-01  9.90196645e-01  1.11200467e-01
   8.63751948e-01  2.41158903e-02  5.96482307e-04  3.35176388e-04
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[0.],[[[1 0 0 0 0]]],[[4.]],[0],[12.],[[0 0 0 0 0]],"[[1.40524536e-01 9.92044091e-01 9.86312509e-01 6.09315455e-01
  3.72733057e-01 1.59937572e-02 1.24005636e-03 7.17609830e-04
  0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 1.00000000e+00]]"
9,[0.],[[[0 1 0 0 0]]],[[6.]],[0],[18.],[[0 0 0 0 0]],"[[4.10648286e-01 9.97958541e-01 9.66419816e-01 8.71331036e-01
  1.19877458e-01 7.16117257e-03 1.02620549e-03 6.04149071e-04
  1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 1.10000000e+00]]"
