,0
0,161.0
1,178.0
2,150.0
3,134.0
4,205.0
5,185.0
6,168.0
7,178.0
8,151.0
9,190.0
10,229.0
11,166.0
12,210.0
13,178.0
14,161.0
15,192.0
16,182.0
17,226.0
18,178.0
19,170.0
20,203.0
21,177.0
22,153.0
23,236.0
24,180.0
25,189.0
26,146.0
27,198.0
28,140.0
29,161.0
30,204.0
31,164.0
32,177.0
33,174.0
34,213.0
35,176.0
36,155.0
37,208.0
38,158.0
39,173.0
40,184.0
41,162.0
42,184.0
43,170.0
44,159.0
45,159.0
46,179.0
47,160.0
48,170.0
49,165.0
50,168.0
51,165.0
52,223.0
53,161.0
54,156.0
55,182.0
56,203.0
57,150.0
58,207.0
59,194.0
60,161.0
61,156.0
62,187.0
63,174.0
64,169.0
65,195.0
66,195.0
67,200.0
68,153.0
69,176.0
70,167.0
71,174.0
72,186.0
73,195.0
74,191.0
75,127.0
76,158.0
77,173.0
78,182.0
79,171.0
80,158.0
81,192.0
82,154.0
83,162.0
84,175.0
85,191.0
86,183.0
87,200.0
88,174.0
89,163.0
90,201.0
91,153.0
92,153.0
93,194.0
94,176.0
95,157.0
96,170.0
97,174.0
98,161.0
99,133.0
100,220.0
101,186.0
102,165.0
103,172.0
104,175.0
105,176.0
106,185.0
107,147.0
108,196.0
109,143.0
110,199.0
111,164.0
112,164.0
113,200.0
114,149.0
115,194.0
116,147.0
117,166.0
118,172.0
119,186.0
120,159.0
121,162.0
122,207.0
123,197.0
124,151.0
125,133.0
126,155.0
127,145.0
128,190.0
129,192.0
130,184.0
131,184.0
132,193.0
133,188.0
134,177.0
135,184.0
136,214.0
137,204.0
138,179.0
139,186.0
140,204.0
141,183.0
142,218.0
143,188.0
144,167.0
145,192.0
146,172.0
147,148.0
148,130.0
149,190.0
150,183.0
151,163.0
152,153.0
153,197.0
154,178.0
155,152.0
156,210.0
157,138.0
158,175.0
159,185.0
160,193.0
161,158.0
162,201.0
163,154.0
164,188.0
165,140.0
166,165.0
167,204.0
168,174.0
169,200.0
170,185.0
171,206.0
172,151.0
173,171.0
174,203.0
175,173.0
176,185.0
177,181.0
178,193.0
179,179.0
180,184.0
181,191.0
182,219.0
183,185.0
184,201.0
185,182.0
186,178.0
187,175.0
188,166.0
189,121.0
190,154.0
191,197.0
192,182.0
193,124.0
194,168.0
195,177.0
196,239.0
197,175.0
198,178.0
199,194.0
