,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[36.],[[[0 0 1 0 0]]],[[12.]],[4],[0.],[[0 0 0 0 0]],"[[0.24397343 0.99963599 0.42459625 0.03458986 0.17231126 0.20377104
  0.46341452 0.12591332 0.         0.         0.         1.
  0.         0.02      ]]"
1,[19.],[[[0 0 0 1 0]]],[[13.]],[2],[19.],[[0 0 0 0 0]],"[[0.45014042 0.94719648 0.29963937 0.01886149 0.10935531 0.15565647
  0.56733608 0.14879069 0.         0.         0.         1.
  0.         0.03      ]]"
2,[22.],[[[0 0 0 1 0]]],[[15.]],[2],[22.],[[0 0 0 0 0]],"[[0.61978877 0.97316092 0.18568012 0.00998088 0.07028415 0.11697788
  0.64156723 0.16118979 0.         0.         0.         1.
  0.         0.04      ]]"
3,[0.],[[[0 0 0 1 0]]],[[13.]],[0],[39.],[[0 0 0 0 0]],"[[0.74509436 0.40764517 0.41169232 0.01684746 0.07551586 0.12435185
  0.6693902  0.1138946  0.         0.         0.         1.
  0.         0.05      ]]"
4,[0.],[[[0 0 0 1 0]]],[[13.]],[0],[39.],[[0 0 0 0 0]],"[[0.83525461 0.22452044 0.60743093 0.01982117 0.08021665 0.12881972
  0.69750232 0.07364009 0.         0.         0.         1.
  0.         0.06      ]]"
5,[48.],[[[0 0 0 1 0]]],[[16.]],[4],[0.],[[0 0 0 0 0]],"[[0.86447424 0.99993116 0.04608551 0.00391805 0.03610204 0.07449837
  0.72285855 0.16262297 0.         0.         1.         0.
  0.         0.07      ]]"
6,[0.],[[[0 0 1 0 0]]],[[12.]],[0],[36.],[[0 0 0 0 0]],"[[0.67923307 0.91356885 0.43090966 0.01215338 0.0847338  0.13180099
  0.67816943 0.09314233 0.         0.         0.         1.
  0.         0.08      ]]"
7,[48.],[[[0 0 0 1 0]]],[[16.]],[4],[0.],[[0 0 0 0 0]],"[[0.76481974 0.99993116 0.1440739  0.00603709 0.05033667 0.09347092
  0.70047724 0.14967805 0.         0.         0.         1.
  0.         0.09      ]]"
8,[0.],[[[0 0 0 1 0]]],[[15.]],[0],[45.],[[0 0 0 0 0]],"[[0.8404206  0.44493297 0.37458259 0.01173951 0.05998947 0.10657541
  0.71167761 0.11001799 0.         0.         0.         0.
  1.         0.1       ]]"
9,[60.],[[[0 0 0 0 1]]],[[20.]],[4],[0.],[[0 0 0 0 0]],"[[ 0.58393121  0.99998486 -0.47739357  0.00345224  0.02464698  0.05340821
   0.431582    0.48691055  0.          0.          0.          1.
   0.          0.11      ]]"
