,adv action,condition,git,investment,repay
0,[2],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",5,[7.5]
1,[2],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",15,[22.5]
2,[0],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",6,[0.]
3,[1],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",17,[12.75]
4,[0],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",3,[0.]
5,[1],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",20,[15.]
6,[0],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",18,[0.]
7,[0],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",9,[0.]
8,[0],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",15,[0.]
9,[0],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",5,[0.]
