,adv action,condition,git,investment,repay
0,[2],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",5,[7.5]
1,[1],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",10,[7.5]
2,[2],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",5,[7.5]
3,[4],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",2,[6.]
4,[4],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",4,[12.]
5,[0],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",4,[0.]
6,[2],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",5,[7.5]
7,[0],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",5,[0.]
8,[0],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",3,[0.]
9,[0],"""adv""","('891f9fe04ff730c3d04a211af23ac10ee3bd72d3', 'vec')",3,[0.]
