,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[33.],[[[0 0 0 1 0]]],[[15.]],[3],[11.],[[0 0 0 0 0]],"[[ 0.20428739  1.         -0.37199521  0.07832523  0.08321308  0.10276867
   0.43422857  0.30146444  0.          0.          0.          0.
   1.          0.02      ]]"
1,[0.],[[[0 0 0 0 1]]],[[19.]],[0],[57.],[[0 0 0 0 0]],"[[ 0.57835555  0.58472383 -0.36181915  0.05804027  0.05141943  0.0658375
   0.4315933   0.39310953  0.          0.          0.          0.
   1.          0.03      ]]"
2,[0.],[[[0 0 0 0 1]]],[[20.]],[0],[60.],[[0 0 0 0 0]],"[[ 0.72875285  0.35562867 -0.39669865  0.04743288  0.04000908  0.05368049
   0.39906552  0.45981202  0.          0.          0.          0.
   1.          0.04      ]]"
3,[0.],[[[0 0 0 0 1]]],[[20.]],[0],[60.],[[0 0 0 0 0]],"[[ 0.78645265  0.2395514  -0.44534793  0.04114233  0.03461108  0.04849413
   0.36891848  0.50683397  0.          0.          1.          0.
   0.          0.05      ]]"
4,[16.],[[[0 0 1 0 0]]],[[11.]],[2],[16.],[[0 0 0 0 0]],"[[ 0.75696731  0.99999273 -0.01054951  0.07518292  0.04877381  0.04730164
   0.62864101  0.20010068  0.          0.          0.          1.
   0.          0.06      ]]"
5,[0.],[[[0 0 0 1 0]]],[[16.]],[0],[48.],[[0 0 0 0 0]],"[[0.77491695 0.96214497 0.15004438 0.08732212 0.05369305 0.04741614
  0.64765519 0.16391355 0.         0.         0.         1.
  0.         0.07      ]]"
6,[0.],[[[0 0 0 1 0]]],[[15.]],[0],[45.],[[0 0 0 0 0]],"[[0.77061385 0.94493484 0.27006206 0.09839904 0.05872133 0.04831014
  0.65549266 0.13907684 1.         0.         0.         0.
  0.         0.08      ]]"
7,[0.],[[[1 0 0 0 0]]],[[0.001]],[4],[0.],[[0 0 0 0 0]],"[[0.1974276  0.75902539 0.64715928 0.2005723  0.16495885 0.11295344
  0.4460786  0.0754368  0.         0.         0.         1.
  0.         0.09      ]]"
8,[42.],[[[0 0 0 1 0]]],[[14.]],[4],[0.],[[0 0 0 0 0]],"[[ 0.19742253  1.         -0.52741224  0.06484066  0.07254477  0.098545
   0.40298885  0.36108077  0.          0.          0.          0.
   1.          0.1       ]]"
9,[0.],[[[0 0 0 0 1]]],[[19.]],[0],[57.],[[0 0 0 0 0]],"[[ 0.57386106  0.55338156 -0.49177575  0.04825266  0.04487429  0.06248223
   0.39037076  0.45401999  0.          0.          0.          0.
   1.          0.11      ]]"
