,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[33.],[[[0 0 0 1 0]]],[[15.]],[3],[11.],[[0 0 0 0 0]],"[[ 0.20428739  1.         -0.37199521  0.07832523  0.08321308  0.10276867
   0.43422857  0.30146444  0.          0.          0.          1.
   0.          0.02      ]]"
1,[0.],[[[0 0 0 1 0]]],[[14.]],[0],[42.],[[0 0 0 0 0]],"[[ 0.46979907  0.95152402 -0.13274959  0.08452943  0.07012895  0.07457322
   0.53138691  0.23938143  0.          0.          0.          0.
   1.          0.03      ]]"
2,[0.],[[[0 0 0 0 1]]],[[17.]],[0],[51.],[[0 0 0 0 0]],"[[ 0.70354295  0.59691525 -0.19077486  0.06544309  0.05034978  0.05770044
   0.50022835  0.32627842  0.          0.          0.          0.
   1.          0.04      ]]"
3,[0.],[[[0 0 0 0 1]]],[[18.]],[0],[54.],[[0 0 0 0 0]],"[[ 0.78453583  0.40454233 -0.28061911  0.05370164  0.04167128  0.05162828
   0.45114407  0.40185472  0.          0.          0.          1.
   0.          0.05      ]]"
4,[0.],[[[0 0 0 1 0]]],[[16.]],[0],[48.],[[0 0 0 0 0]],"[[ 0.75079715  0.58658767 -0.04235008  0.07517517  0.05362251  0.0561013
   0.54004818  0.27505291  0.          0.          1.          0.
   0.          0.06      ]]"
5,[13.],[[[0 0 1 0 0]]],[[9.]],[2],[13.],[[0 0 0 0 0]],"[[0.65632576 0.99995005 0.16685489 0.09787287 0.06453893 0.05637421
  0.62645406 0.15475994 0.         0.         0.         1.
  0.         0.07      ]]"
6,[0.],[[[0 0 0 1 0]]],[[13.]],[0],[39.],[[0 0 0 0 0]],"[[0.712735   0.96881354 0.28796846 0.10475332 0.06442551 0.05237054
  0.64586949 0.13258111 0.         0.         0.         0.
  1.         0.08      ]]"
7,[30.],[[[0 0 0 0 1]]],[[20.]],[2],[30.],[[0 0 0 0 0]],"[[ 0.71239108  1.         -0.76414877  0.03005205  0.02525206  0.03887919
   0.43114388  0.47467282  0.          0.          0.          1.
   0.          0.09      ]]"
8,[0.],[[[0 0 0 1 0]]],[[14.]],[0],[42.],[[0 0 0 0 0]],"[[ 0.78700626  0.92563188 -0.50029957  0.04084019  0.03052755  0.0402953
   0.50680411  0.38153282  0.          0.          0.          0.
   1.          0.1       ]]"
9,[0.],[[[0 0 0 0 1]]],[[17.]],[0],[51.],[[0 0 0 0 0]],"[[ 0.8489958   0.48075294 -0.49346292  0.03748773  0.02922377  0.0407119
   0.41703451  0.47554207  0.          0.          0.          1.
   0.          0.11      ]]"
