,r1,r2,rnn action,adv action,adv reward,real model action
0,1.0,0.0,[[1 0]],[1],[0.],
1,1.0,0.0,[[1 0]],[1],[1.],
2,1.0,0.0,[[1 0]],[1],[1.],
3,0.0,0.0,[[0 1]],[0],[1.],
4,1.0,0.0,[[0 1]],[1],[0.],
5,1.0,0.0,[[1 0]],[1],[0.],
6,1.0,0.0,[[0 1]],[1],[1.],
7,1.0,0.0,[[0 1]],[1],[0.],
8,1.0,0.0,[[0 1]],[1],[0.],
9,1.0,0.0,[[0 1]],[1],[0.],
10,1.0,0.0,[[0 1]],[1],[0.],
11,0.0,0.0,[[1 0]],[0],[0.],
12,0.0,0.0,[[0 1]],[0],[1.],
13,0.0,0.0,[[0 1]],[0],[0.],
14,0.0,0.0,[[0 1]],[0],[0.],
15,0.0,0.0,[[1 0]],[0],[0.],
16,0.0,0.0,[[1 0]],[0],[1.],
17,1.0,0.0,[[0 1]],[1],[1.],
18,1.0,0.0,[[0 1]],[1],[0.],
19,0.0,0.0,[[0 1]],[0],[0.],
20,0.0,0.0,[[0 1]],[0],[0.],
21,0.0,0.0,[[0 1]],[0],[0.],
22,0.0,0.0,[[0 1]],[0],[0.],
23,0.0,0.0,[[0 1]],[0],[0.],
24,0.0,0.0,[[1 0]],[0],[0.],
25,1.0,0.0,[[1 0]],[1],[1.],
26,1.0,0.0,[[0 1]],[1],[1.],
27,1.0,0.0,[[0 1]],[1],[0.],
28,1.0,0.0,[[0 1]],[1],[0.],
29,1.0,0.0,[[0 1]],[1],[0.],
30,0.0,0.0,[[1 0]],[0],[0.],
31,1.0,0.0,[[0 1]],[1],[1.],
32,0.0,0.0,[[0 1]],[0],[0.],
33,0.0,0.0,[[0 1]],[0],[0.],
34,0.0,0.0,[[1 0]],[0],[0.],
35,0.0,0.0,[[0 1]],[0],[1.],
36,0.0,0.0,[[0 1]],[0],[0.],
37,0.0,0.0,[[0 1]],[0],[0.],
38,0.0,0.0,[[1 0]],[0],[0.],
39,1.0,0.0,[[0 1]],[1],[1.],
40,0.0,0.0,[[1 0]],[0],[0.],
41,1.0,0.0,[[0 1]],[1],[1.],
42,1.0,0.0,[[1 0]],[1],[0.],
43,1.0,0.0,[[0 1]],[1],[1.],
44,1.0,0.0,[[1 0]],[1],[0.],
45,1.0,0.0,[[1 0]],[1],[1.],
46,1.0,0.0,[[1 0]],[1],[1.],
47,0.0,0.0,[[1 0]],[1],[1.],
48,0.0,0.0,[[1 0]],[0],[1.],
49,0.0,0.0,[[1 0]],[0],[1.],
50,0.0,0.0,[[1 0]],[0],[1.],
51,0.0,0.0,[[1 0]],[0],[1.],
52,0.0,1.0,[[1 0]],[3],[1.],
53,0.0,1.0,[[0 1]],[3],[1.],
54,0.0,1.0,[[0 1]],[3],[0.],
55,0.0,0.0,[[1 0]],[0],[0.],
56,0.0,0.0,[[0 1]],[1],[1.],
57,0.0,1.0,[[0 1]],[3],[0.],
58,0.0,1.0,[[1 0]],[3],[0.],
59,0.0,0.0,[[1 0]],[1],[1.],
60,0.0,0.0,[[0 1]],[1],[1.],
61,0.0,1.0,[[1 0]],[3],[0.],
62,0.0,1.0,[[1 0]],[3],[1.],
63,0.0,1.0,[[0 1]],[3],[1.],
64,0.0,0.0,[[0 1]],[1],[0.],
65,0.0,1.0,[[0 1]],[3],[0.],
66,0.0,0.0,[[0 1]],[1],[0.],
67,0.0,1.0,[[0 1]],[3],[0.],
68,0.0,0.0,[[0 1]],[1],[0.],
69,0.0,0.0,[[1 0]],[1],[0.],
70,0.0,0.0,[[0 1]],[1],[1.],
71,0.0,0.0,[[1 0]],[1],[0.],
72,0.0,0.0,[[0 1]],[1],[1.],
73,0.0,1.0,[[1 0]],[3],[0.],
74,0.0,1.0,[[0 1]],[3],[1.],
75,0.0,0.0,[[1 0]],[1],[0.],
76,0.0,1.0,[[0 1]],[3],[1.],
77,0.0,0.0,[[1 0]],[1],[0.],
78,0.0,1.0,[[0 1]],[3],[1.],
79,0.0,0.0,[[0 1]],[1],[0.],
80,0.0,0.0,[[0 1]],[1],[0.],
81,0.0,0.0,[[1 0]],[1],[0.],
82,0.0,1.0,[[1 0]],[3],[1.],
83,0.0,1.0,[[0 1]],[3],[1.],
84,0.0,1.0,[[0 1]],[3],[0.],
85,0.0,1.0,[[0 1]],[3],[0.],
86,0.0,0.0,[[0 1]],[1],[0.],
87,0.0,0.0,[[0 1]],[1],[0.],
88,0.0,1.0,[[0 1]],[3],[0.],
89,0.0,0.0,[[1 0]],[1],[0.],
90,0.0,1.0,[[1 0]],[3],[1.],
91,0.0,1.0,[[0 1]],[3],[1.],
92,0.0,1.0,[[0 1]],[3],[0.],
93,0.0,1.0,[[0 1]],[3],[0.],
94,0.0,1.0,[[1 0]],[3],[0.],
95,0.0,1.0,[[0 1]],[3],[1.],
96,0.0,0.0,[[0 1]],[3],[0.],
97,0.0,0.0,[[1 0]],[3],[0.],
98,0.0,0.0,[[0 1]],[3],[1.],
99,0.0,0.0,[[0 1]],[3],[0.],
