,r1,r2,rnn action,adv action,adv reward,real model action
0,1.0,0.0,[[1 0]],[1],[0.],
1,1.0,0.0,[[0 1]],[1],[1.],
2,0.0,0.0,[[1 0]],[0],[0.],
3,1.0,0.0,[[0 1]],[1],[1.],
4,0.0,0.0,[[0 1]],[0],[0.],
5,0.0,0.0,[[1 0]],[0],[0.],
6,1.0,0.0,[[0 1]],[1],[1.],
7,1.0,0.0,[[0 1]],[1],[0.],
8,1.0,0.0,[[1 0]],[1],[0.],
9,1.0,0.0,[[1 0]],[1],[1.],
10,1.0,0.0,[[0 1]],[1],[1.],
11,1.0,0.0,[[1 0]],[1],[0.],
12,1.0,0.0,[[0 1]],[1],[1.],
13,1.0,0.0,[[1 0]],[1],[0.],
14,1.0,0.0,[[1 0]],[1],[1.],
15,1.0,1.0,[[1 0]],[3],[1.],
16,0.0,0.0,[[1 0]],[0],[1.],
17,1.0,0.0,[[1 0]],[1],[1.],
18,0.0,1.0,[[1 0]],[2],[1.],
19,0.0,1.0,[[1 0]],[2],[1.],
20,0.0,1.0,[[1 0]],[2],[1.],
21,0.0,1.0,[[1 0]],[2],[1.],
22,0.0,1.0,[[1 0]],[2],[1.],
23,0.0,1.0,[[1 0]],[2],[1.],
24,0.0,1.0,[[1 0]],[2],[1.],
25,0.0,1.0,[[1 0]],[2],[1.],
26,0.0,1.0,[[1 0]],[2],[1.],
27,0.0,1.0,[[1 0]],[2],[1.],
28,0.0,1.0,[[1 0]],[2],[1.],
29,0.0,1.0,[[1 0]],[2],[1.],
30,0.0,1.0,[[1 0]],[2],[1.],
31,0.0,1.0,[[1 0]],[2],[1.],
32,0.0,1.0,[[1 0]],[2],[1.],
33,0.0,1.0,[[1 0]],[2],[1.],
34,0.0,1.0,[[1 0]],[2],[1.],
35,0.0,1.0,[[1 0]],[2],[1.],
36,0.0,1.0,[[0 1]],[2],[1.],
37,1.0,0.0,[[1 0]],[1],[0.],
38,1.0,1.0,[[1 0]],[3],[1.],
39,0.0,0.0,[[1 0]],[0],[1.],
40,0.0,1.0,[[1 0]],[2],[1.],
41,0.0,1.0,[[1 0]],[2],[1.],
42,0.0,1.0,[[1 0]],[2],[1.],
43,0.0,1.0,[[0 1]],[2],[1.],
44,1.0,0.0,[[1 0]],[1],[0.],
45,1.0,0.0,[[1 0]],[3],[1.],
46,0.0,0.0,[[1 0]],[0],[1.],
47,0.0,0.0,[[1 0]],[2],[1.],
48,0.0,0.0,[[1 0]],[2],[1.],
49,0.0,0.0,[[1 0]],[2],[1.],
50,0.0,0.0,[[1 0]],[2],[1.],
51,0.0,0.0,[[1 0]],[2],[1.],
52,0.0,0.0,[[1 0]],[2],[1.],
53,0.0,0.0,[[1 0]],[2],[1.],
54,0.0,0.0,[[1 0]],[2],[1.],
55,0.0,0.0,[[1 0]],[2],[1.],
56,0.0,0.0,[[1 0]],[2],[1.],
57,0.0,0.0,[[1 0]],[2],[1.],
58,0.0,0.0,[[1 0]],[2],[1.],
59,0.0,0.0,[[1 0]],[2],[1.],
60,0.0,0.0,[[1 0]],[2],[1.],
61,0.0,0.0,[[1 0]],[2],[1.],
62,0.0,0.0,[[1 0]],[2],[1.],
63,0.0,0.0,[[1 0]],[2],[1.],
64,0.0,0.0,[[1 0]],[2],[1.],
65,0.0,0.0,[[1 0]],[2],[1.],
66,0.0,0.0,[[1 0]],[2],[1.],
67,0.0,0.0,[[1 0]],[2],[1.],
68,0.0,0.0,[[1 0]],[2],[1.],
69,0.0,0.0,[[1 0]],[2],[1.],
70,0.0,0.0,[[1 0]],[2],[1.],
71,0.0,0.0,[[1 0]],[2],[1.],
72,0.0,0.0,[[1 0]],[2],[1.],
73,0.0,0.0,[[1 0]],[2],[1.],
74,0.0,0.0,[[1 0]],[2],[1.],
75,0.0,0.0,[[0 1]],[2],[1.],
76,1.0,0.0,[[1 0]],[1],[0.],
77,0.0,0.0,[[1 0]],[0],[1.],
78,1.0,0.0,[[1 0]],[1],[1.],
79,0.0,0.0,[[1 0]],[2],[1.],
80,0.0,0.0,[[1 0]],[2],[1.],
81,0.0,0.0,[[1 0]],[2],[1.],
82,0.0,0.0,[[1 0]],[2],[1.],
83,0.0,0.0,[[1 0]],[2],[1.],
84,0.0,0.0,[[1 0]],[2],[1.],
85,0.0,0.0,[[1 0]],[2],[1.],
86,0.0,0.0,[[1 0]],[2],[1.],
87,0.0,0.0,[[1 0]],[2],[1.],
88,0.0,0.0,[[0 1]],[2],[1.],
89,1.0,0.0,[[1 0]],[1],[0.],
90,1.0,0.0,[[1 0]],[1],[1.],
91,0.0,0.0,[[1 0]],[2],[1.],
92,0.0,0.0,[[1 0]],[2],[1.],
93,0.0,0.0,[[1 0]],[2],[1.],
94,0.0,0.0,[[1 0]],[2],[1.],
95,0.0,0.0,[[1 0]],[2],[1.],
96,0.0,0.0,[[0 1]],[2],[1.],
97,1.0,0.0,[[1 0]],[1],[0.],
98,1.0,0.0,[[1 0]],[1],[1.],
99,1.0,0.0,[[1 0]],[2],[1.],
