,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[36.],[[[0 0 1 0 0]]],[[12.]],[4],[0.],[[0 0 0 0 0]],"[[-1.71398059e-01  8.72794509e-01 -9.75622237e-01  1.23497320e-03
   5.82788880e-06  1.42179266e-01  5.90049401e-02  7.97575057e-01
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  2.00000000e-01]]"
1,[27.],[[[0 0 1 0 0]]],[[9.]],[4],[0.],[[0 0 0 0 0]],"[[-2.99564719e-01  7.37242639e-01 -8.62320960e-01  1.40804320e-03
   1.93071974e-05  4.90700006e-01  5.73165268e-02  4.50556040e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.00000000e+00  3.00000000e-01]]"
2,[0.],[[[0 0 0 0 1]]],[[20.]],[0],[60.],[[0 0 0 0 0]],"[[-2.64398009e-01  9.12399769e-01 -1.51888072e-01  1.76286921e-01
   9.64989478e-04  6.21200681e-01  6.27576560e-02  1.38789684e-01
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-01]]"
3,[33.],[[[0 0 1 0 0]]],[[11.]],[4],[0.],[[0 0 0 0 0]],"[[-3.91563594e-01  8.36948693e-01 -9.36677456e-01  7.62413489e-04
   8.01601254e-06  4.36939448e-01  4.81826849e-02  5.14107466e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.00000000e+00  5.00000000e-01]]"
4,[0.],[[[0 0 0 0 1]]],[[20.]],[0],[60.],[[0 0 0 0 0]],"[[-3.22642088e-01  9.37966943e-01 -3.54369134e-01  5.16310893e-02
   2.84737995e-04  6.41329050e-01  6.73167408e-02  2.39438355e-01
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-01]]"
5,[33.],[[[0 0 1 0 0]]],[[11.]],[4],[0.],[[0 0 0 0 0]],"[[-4.59243596e-01  8.36949289e-01 -9.44365561e-01  5.39779663e-04
   6.84451834e-06  5.25193751e-01  4.09879200e-02  4.33271617e-01
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  7.00000000e-01]]"
6,[0.],[[[0 0 1 0 0]]],[[12.]],[0],[36.],[[0 0 0 0 0]],"[[-7.72904515e-01  2.55768225e-02  8.53464901e-01  7.71757914e-03
   1.86629575e-02  9.73516285e-01  9.92134082e-05  3.98707834e-06
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-01]]"
7,[6.],[[[0 0 1 0 0]]],[[9.]],[1],[20.],[[0 0 0 0 0]],"[[-7.84097672e-01  2.38798007e-01  9.69967246e-01  3.68955620e-02
   3.11404523e-02  9.31800544e-01  1.56347523e-04  7.01107956e-06
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[33.],[[0 0 0 0 0]],"[[-7.99670935e-01  7.38861978e-01  9.87597704e-01  3.44612658e-01
   2.32294053e-02  6.31605446e-01  5.00814815e-04  5.16729851e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[0.],[[[1 0 0 0 0]]],[[2.]],[0],[6.],[[0 0 0 0 0]],"[[9.93987262e-01 3.87094468e-01 9.87613678e-01 9.97088373e-01
  2.80000060e-03 2.53803846e-05 7.75588051e-05 8.71571774e-06
  1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 1.10000000e+00]]"
