,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,real model action,real_model action cont,adv_state
0,[9.],[[[0 0 1 0 0]]],[[12.]],[1],[27.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-8.56125534e-01  7.88518727e-01 -3.08660090e-01  3.09001014e-04
   6.82720616e-02  9.30949092e-01  2.16829794e-04  2.53028702e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  2.00000000e-01]]"
1,[16.5],[[[0 0 1 0 0]]],[[11.]],[2],[16.5],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.18146968e-01  9.38803077e-01 -5.64307749e-01  6.62282619e-05
   1.66983008e-02  9.83107805e-01  5.65746705e-05  7.11818939e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  3.00000000e-01]]"
2,[13.5],[[[0 0 1 0 0]]],[[9.]],[2],[13.5],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.67520952e-01  9.76406932e-01 -6.07760429e-01  3.91629947e-05
   1.30152125e-02  9.86860812e-01  3.73838848e-05  4.73918335e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-01]]"
3,[2.56468799],[[[0 0 1 0 0]]],[[10.]],[2],[27.43531201],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.84786749e-01  9.54107642e-01 -2.56564409e-01  1.57191753e-04
   8.71786401e-02  9.12447989e-01  1.06522355e-04  1.09600413e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  5.00000000e-01]]"
4,[5.30457167],[[[0 0 1 0 0]]],[[9.]],[3],[21.69542833],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.95205939e-01  9.74805057e-01  8.24218914e-02  4.45038517e-04
   3.91146272e-01  6.08049393e-01  1.97449248e-04  1.61878881e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-01]]"
5,[10.10038496],[[[0 0 1 0 0]]],[[12.]],[0],[25.89961504],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.98069346e-01  9.88400400e-01  4.03863758e-01  6.13401993e-04
   7.96386480e-01  2.02699348e-01  1.80852236e-04  1.19934310e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  7.00000000e-01]]"
6,[4.78957683],[[[0 1 0 0 0]]],[[8.]],[0],[19.21042317],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.92645502e-01  9.93659139e-01  8.32790554e-01  4.75811627e-04
   9.77214515e-01  2.21875459e-02  8.12974249e-05  4.09197091e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-01]]"
7,[1.52081527],[[[0 1 0 0 0]]],[[6.]],[0],[16.47918473],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-8.02217901e-01  9.96228814e-01  9.53243494e-01  1.43847533e-03
   9.87164855e-01  1.12071950e-02  1.29652006e-04  5.97791695e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[3.28251547],[[[0 1 0 0 0]]],[[6.]],[0],[14.71748453],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.30006504e-01  9.99003172e-01  9.97137785e-01  5.98829181e-04
   9.90428686e-01  8.86990223e-03  7.06461069e-05  3.18310958e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[2.88515886],[[[0 1 0 0 0]]],[[7.]],[0],[18.11484114],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.51024354e-01  9.99673605e-01  9.97909665e-01  5.22058923e-04
   9.90536511e-01  8.84734653e-03  6.48592613e-05  2.92288660e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.10000000e+00]]"
