,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,real model action,real_model action cont,adv_state
0,[7.5],[[[0 0 1 0 0]]],[[10.]],[1],[22.5],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-8.74490798e-01  7.37413466e-01 -2.39114195e-01  3.67179193e-04
   9.82005596e-02  9.00846004e-01  2.72345234e-04  3.13846424e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  2.00000000e-01]]"
1,[15.],[[[0 0 1 0 0]]],[[10.]],[2],[15.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.32102203e-01  9.18180287e-01 -5.27959228e-01  7.12620895e-05
   2.04422846e-02  9.79345679e-01  6.26705878e-05  7.80675764e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  3.00000000e-01]]"
2,[13.5],[[[0 0 1 0 0]]],[[9.]],[2],[13.5],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.72211838e-01  9.69059467e-01 -6.06172502e-01  3.83192564e-05
   1.31369876e-02  9.86739635e-01  3.74470146e-05  4.76449422e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-01]]"
3,[6.43777562],[[[0 0 1 0 0]]],[[9.]],[2],[20.56222438],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.94339764e-01  9.76984859e-01 -4.34255540e-01  7.00012242e-05
   3.37957665e-02  9.66010571e-01  5.78900035e-05  6.57992714e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  5.00000000e-01]]"
4,[6.22722836],[[[0 0 1 0 0]]],[[11.]],[2],[26.77277164],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.98265386e-01  9.84737813e-01 -2.21106380e-01  1.64200610e-04
   1.04018062e-01  8.95610273e-01  1.04337625e-04  1.03121660e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-01]]"
5,[9.18818297],[[[0 0 1 0 0]]],[[12.]],[2],[26.81181703],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.99395490e-01  9.92103696e-01 -1.69015676e-02  3.31912859e-04
   2.68145472e-01  7.31219172e-01  1.62771685e-04  1.40697171e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  7.00000000e-01]]"
6,[0.59320671],[[[0 1 0 0 0]]],[[6.]],[2],[17.40679329],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-8.76328826e-01  9.91024017e-01  6.36310339e-01  1.21355127e-03
   9.34846222e-01  6.36322945e-02  1.96388908e-04  1.11499023e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-01]]"
7,[2.35606777],[[[0 1 0 0 0]]],[[6.]],[0],[15.64393223],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.43775535e-01  9.97349381e-01  9.97407198e-01  5.47678967e-04
   9.90490317e-01  8.86469521e-03  6.71133675e-05  3.02853769e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[3.98323816],[[[0 1 0 0 0]]],[[8.]],[0],[20.01676184],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.39590871e-01  9.98555422e-01  9.55283225e-01  5.89118863e-04
   9.88090873e-01  1.12103457e-02  7.50136460e-05  3.47354653e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[3.1640419],[[[0 1 0 0 0]]],[[8.]],[0],[20.8359581],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.64000106e-01  9.99529719e-01  9.97854292e-01  4.79981391e-04
   9.90571380e-01  8.85911193e-03  6.16693651e-05  2.78130283e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.10000000e+00]]"
