,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,real model action,real_model action cont,adv_state
0,[8.],[[[0 0 1 0 0]]],[[11.]],[1],[22.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-8.69668305e-01  7.55100548e-01 -2.62610346e-01  3.43695574e-04
   8.69573355e-02  9.12157774e-01  2.50891608e-04  2.90299475e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  2.00000000e-01]]"
1,[15.],[[[0 0 1 0 0]]],[[9.]],[4],[0.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.69551861e-01  9.63333011e-01  9.44319308e-01  4.93663247e-04
   9.87501264e-01  1.18966606e-02  7.33447669e-05  3.49836700e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  3.00000000e-01]]"
2,[8.],[[[0 1 0 0 0]]],[[8.]],[1],[22.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.84813690e-01  9.81833875e-01  9.14732397e-01  4.60264855e-04
   9.85363126e-01  1.40711153e-02  7.12784822e-05  3.42868843e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-01]]"
3,[0.],[[[0 1 0 0 0]]],[[7.]],[0],[15.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-7.26154089e-01  9.93175089e-01  9.98311877e-01  2.24187342e-03
   9.88874197e-01  8.65485892e-03  1.58260518e-04  7.07674844e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  5.00000000e-01]]"
4,[4.],[[[0 1 0 0 0]]],[[8.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.28646266e-01  9.98438299e-01  9.96409774e-01  6.04669389e-04
   9.90387499e-01  8.90448131e-03  7.12229012e-05  3.21144944e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-01]]"
5,[4.],[[[0 1 0 0 0]]],[[8.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.75091696e-01  9.99513626e-01  9.97641206e-01  4.46785183e-04
   9.90589976e-01  8.87747761e-03  5.90774216e-05  2.66628904e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  7.00000000e-01]]"
6,[4.],[[[0 1 0 0 0]]],[[5.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.83616889e-01  9.99835253e-01  9.97854114e-01  4.22641257e-04
   9.90621328e-01  8.87326058e-03  5.70717821e-05  2.57604279e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-01]]"
7,[4.],[[[0 1 0 0 0]]],[[7.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.85137939e-01  9.99940395e-01  9.97892261e-01  4.18469572e-04
   9.90626574e-01  8.87254532e-03  5.67157185e-05  2.55994673e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[4.],[[[0 1 0 0 0]]],[[6.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.85407352e-01  9.99975324e-01  9.97899652e-01  4.17733740e-04
   9.90627646e-01  8.87241121e-03  5.66510171e-05  2.55699706e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[4.],[[[0 1 0 0 0]]],[[8.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.85454559e-01  9.99986768e-01  9.97901201e-01  4.17604373e-04
   9.90627885e-01  8.87237582e-03  5.66390372e-05  2.55644172e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.10000000e+00]]"
