,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,real model action,real_model action cont,adv_state
0,[15.],[[[0 0 0 0 1]]],[[20.]],[1],[45.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[ 0.48504823  0.97656369 -0.10954336  0.47848928  0.02235436  0.03336155
   0.01030617  0.45548865  1.          0.          0.          0.
   0.          0.02      ]]"
1,[0.],[[[0 0 0 0 1]]],[[17.]],[4],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[0.]],"[[0.73714471 0.39771277 0.4428983  0.65815389 0.00707971 0.01485632
  0.00216583 0.31774414 0.         0.         0.         0.
  1.         0.03      ]]"
2,[30.],[[[1 0 0 0 0]]],[[3.]],[2],[30.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[ 0.79197717  0.93527013 -0.182153    0.39295197  0.00857687  0.01443907
   0.00479344  0.57923865  0.          0.          0.          0.
   1.          0.04      ]]"
3,[0.],[[[1 0 0 0 0]]],[[2.]],[0],[60.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[ 0.84477878  0.906075   -0.04099414  0.48950937  0.00642119  0.00983635
   0.00310398  0.49112904  1.          0.          0.          0.
   0.          0.05      ]]"
4,[0.],[[[0 0 0 0 1]]],[[17.]],[4],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[0.]],"[[0.91506171 0.01593048 0.48002684 0.51473433 0.00484637 0.01747878
  0.00168355 0.46125692 0.         0.         0.         0.
  1.         0.06      ]]"
5,[30.],[[[0 0 0 0 1]]],[[19.]],[2],[30.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[ 0.89820719  0.89798528 -0.21496846  0.34592766  0.00612343  0.01121654
   0.00371841  0.63301396  0.          0.          0.          0.
   1.          0.07      ]]"
6,[0.],[[[1 0 0 0 0]]],[[0.001]],[0],[60.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[ 0.92476189  0.88144451 -0.05354394  0.46256471  0.00499178  0.00801051
   0.00252857  0.52190441  0.          0.          0.          0.
   1.          0.08      ]]"
7,[30.],[[[0 0 0 0 1]]],[[19.]],[2],[30.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[ 0.94740641  0.92075872 -0.26472431  0.3155902   0.00524606  0.00971781
   0.00340858  0.66603738  0.          0.          0.          0.
   1.          0.09      ]]"
8,[0.],[[[0 0 0 0 1]]],[[20.]],[0],[60.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[ 0.96120727  0.86999202 -0.09333921  0.42285189  0.00457416  0.00775204
   0.00246628  0.5623557   1.          0.          0.          0.
   0.          0.1       ]]"
9,[0.],[[[1 0 0 0 0]]],[[1.]],[4],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[0.]],"[[ 0.97279203 -0.11877214  0.46941367  0.44286552  0.0043096   0.01925733
   0.00160868  0.53195888  0.          0.          0.          0.
   1.          0.11      ]]"
