,r1,r2,rnn action,adv action,adv reward,real model action
0,0.0,0.0,[[0 1]],[0],[0.],
1,1.0,0.0,[[1 0]],[1],[0.],
2,0.0,0.0,[[1 0]],[0],[1.],
3,0.0,0.0,[[1 0]],[0],[1.],
4,1.0,0.0,[[1 0]],[1],[1.],
5,0.0,0.0,[[1 0]],[0],[1.],
6,0.0,0.0,[[1 0]],[0],[1.],
7,0.0,0.0,[[1 0]],[0],[1.],
8,0.0,0.0,[[1 0]],[0],[1.],
9,1.0,0.0,[[1 0]],[1],[1.],
10,0.0,0.0,[[1 0]],[0],[1.],
11,0.0,0.0,[[1 0]],[0],[1.],
12,0.0,0.0,[[1 0]],[0],[1.],
13,0.0,0.0,[[1 0]],[0],[1.],
14,0.0,0.0,[[1 0]],[0],[1.],
15,1.0,0.0,[[1 0]],[1],[1.],
16,0.0,0.0,[[1 0]],[0],[1.],
17,0.0,0.0,[[1 0]],[0],[1.],
18,0.0,0.0,[[1 0]],[0],[1.],
19,0.0,0.0,[[1 0]],[0],[1.],
20,0.0,0.0,[[1 0]],[0],[1.],
21,0.0,0.0,[[0 1]],[0],[1.],
22,1.0,0.0,[[0 1]],[1],[0.],
23,0.0,0.0,[[1 0]],[0],[0.],
24,1.0,0.0,[[1 0]],[1],[1.],
25,1.0,1.0,[[1 0]],[3],[1.],
26,1.0,1.0,[[1 0]],[3],[1.],
27,1.0,1.0,[[1 0]],[3],[1.],
28,1.0,1.0,[[1 0]],[3],[1.],
29,1.0,1.0,[[1 0]],[3],[1.],
30,1.0,1.0,[[1 0]],[3],[1.],
31,1.0,1.0,[[1 0]],[3],[1.],
32,1.0,1.0,[[1 0]],[3],[1.],
33,0.0,1.0,[[1 0]],[2],[1.],
34,1.0,1.0,[[1 0]],[3],[1.],
35,0.0,1.0,[[1 0]],[2],[1.],
36,0.0,1.0,[[1 0]],[2],[1.],
37,1.0,1.0,[[1 0]],[3],[1.],
38,0.0,1.0,[[1 0]],[2],[1.],
39,1.0,1.0,[[1 0]],[3],[1.],
40,0.0,1.0,[[1 0]],[2],[1.],
41,1.0,1.0,[[1 0]],[3],[1.],
42,0.0,1.0,[[1 0]],[2],[1.],
43,1.0,1.0,[[1 0]],[3],[1.],
44,1.0,1.0,[[1 0]],[3],[1.],
45,1.0,1.0,[[1 0]],[3],[1.],
46,1.0,1.0,[[1 0]],[3],[1.],
47,1.0,1.0,[[1 0]],[3],[1.],
48,1.0,1.0,[[1 0]],[3],[1.],
49,1.0,1.0,[[1 0]],[3],[1.],
50,0.0,0.0,[[1 0]],[0],[1.],
51,0.0,0.0,[[1 0]],[3],[1.],
52,0.0,0.0,[[1 0]],[3],[1.],
53,0.0,0.0,[[1 0]],[3],[1.],
54,0.0,0.0,[[1 0]],[3],[1.],
55,0.0,0.0,[[1 0]],[3],[1.],
56,0.0,0.0,[[1 0]],[3],[1.],
57,0.0,0.0,[[1 0]],[3],[1.],
58,0.0,0.0,[[1 0]],[3],[1.],
59,0.0,0.0,[[1 0]],[3],[1.],
60,0.0,0.0,[[1 0]],[3],[1.],
61,0.0,0.0,[[1 0]],[3],[1.],
62,0.0,0.0,[[1 0]],[3],[1.],
63,0.0,0.0,[[1 0]],[3],[1.],
64,0.0,0.0,[[1 0]],[3],[1.],
65,0.0,0.0,[[1 0]],[3],[1.],
66,0.0,0.0,[[1 0]],[3],[1.],
67,0.0,0.0,[[1 0]],[2],[1.],
68,0.0,0.0,[[1 0]],[2],[1.],
69,0.0,0.0,[[1 0]],[2],[1.],
70,0.0,0.0,[[1 0]],[2],[1.],
71,0.0,0.0,[[1 0]],[2],[1.],
72,0.0,0.0,[[1 0]],[2],[1.],
73,0.0,0.0,[[1 0]],[2],[1.],
74,0.0,0.0,[[1 0]],[2],[1.],
75,0.0,0.0,[[1 0]],[2],[1.],
76,0.0,0.0,[[1 0]],[2],[1.],
77,0.0,0.0,[[1 0]],[2],[1.],
78,0.0,0.0,[[1 0]],[2],[1.],
79,0.0,0.0,[[1 0]],[2],[1.],
80,0.0,0.0,[[1 0]],[2],[1.],
81,0.0,0.0,[[1 0]],[2],[1.],
82,0.0,0.0,[[1 0]],[2],[1.],
83,0.0,0.0,[[1 0]],[2],[1.],
84,0.0,0.0,[[1 0]],[2],[1.],
85,0.0,0.0,[[1 0]],[2],[1.],
86,0.0,0.0,[[1 0]],[2],[1.],
87,0.0,0.0,[[1 0]],[2],[1.],
88,0.0,0.0,[[1 0]],[2],[1.],
89,0.0,0.0,[[1 0]],[2],[1.],
90,0.0,0.0,[[1 0]],[2],[1.],
91,0.0,0.0,[[1 0]],[2],[1.],
92,0.0,0.0,[[1 0]],[2],[1.],
93,0.0,0.0,[[1 0]],[2],[1.],
94,0.0,0.0,[[1 0]],[2],[1.],
95,0.0,0.0,[[1 0]],[2],[1.],
96,0.0,0.0,[[1 0]],[2],[1.],
97,0.0,0.0,[[1 0]],[2],[1.],
98,0.0,0.0,[[1 0]],[2],[1.],
99,0.0,0.0,[[1 0]],[1],[1.],
