,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,real model action,real_model action cont,adv_state
0,[30.],[[[0 0 1 0 0]]],[[11.]],[4],[0.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-1.72056332e-01  7.92128980e-01 -9.21293855e-01  1.67426514e-03
   1.20611185e-05  2.28893697e-01  6.75827190e-02  7.01837242e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.00000000e+00  2.00000000e-01]]"
1,[15.],[[[0 0 1 0 0]]],[[11.]],[1],[45.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[-0.18254592  0.99610525  0.03447303  0.57534152  0.00166546  0.2931675
   0.0473224   0.08250304  1.          0.          0.          0.
   0.          0.3       ]]"
2,[0.],[[[1 0 0 0 0]]],[[3.]],[4],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[0.]],"[[7.98308969e-01 9.33633029e-01 5.47291711e-02 9.64362323e-01
  2.52246042e-04 4.94149339e-04 1.09255826e-02 2.39657089e-02
  0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
  0.00000000e+00 4.00000000e-01]]"
3,[15.],[[[1 0 0 0 0]]],[[3.]],[2],[15.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[ 6.27329767e-01  8.42894971e-01 -4.35732827e-02  8.95978272e-01
   5.94665005e-04  4.13068198e-03  3.12331319e-02  6.80632591e-02
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  5.00000000e-01]]"
4,[15.],[[[1 0 0 0 0]]],[[0.001]],[2],[15.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[ 0.49015492  0.78951687 -0.04549939  0.85651571  0.00109535  0.01434974
   0.04433122  0.0837079   0.          0.          1.          0.
   0.          0.6       ]]"
5,[15.],[[[1 0 0 0 0]]],[[0.001]],[2],[15.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[ 0.36469024  0.71860403 -0.04311477  0.7949695   0.00207614  0.0477796
   0.06018079  0.09499396  0.          0.          1.          0.
   0.          0.7       ]]"
6,[15.],[[[0 0 1 0 0]]],[[9.]],[2],[15.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[ 0.26026964  0.65116602 -0.03969225  0.69918644  0.0034551   0.12635984
   0.07321674  0.09778193  0.          0.          1.          0.
   0.          0.8       ]]"
7,[0.],[[[0 0 0 1 0]]],[[15.]],[0],[30.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[6.47301078e-02 9.66764748e-01 9.72772658e-01 9.96820927e-01
  1.87677506e-03 1.08761468e-03 1.75448426e-04 3.92071233e-05
  0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
  0.00000000e+00 9.00000000e-01]]"
8,[23.],[[[1 0 0 0 0]]],[[3.]],[3],[7.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-2.02676743e-01  6.44416451e-01 -4.58147019e-01  1.83002558e-02
   3.23507440e-04  7.41200924e-01  6.30801693e-02  1.77095100e-01
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[0.],[[[0 0 1 0 0]]],[[10.]],[0],[30.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-4.23593998e-01  7.21924841e-01  9.30115700e-01  8.34689081e-01
   2.14309059e-02  1.42938390e-01  8.31794867e-04  1.09803215e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  1.10000000e+00]]"
