,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,real model action,real_model action cont,adv_state
0,[15.],[[[1 0 0 0 0]]],[[3.]],[2],[15.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.36749509  1.         -0.53564584  0.09626267  0.1482434   0.50625217
   0.06267844  0.18656334  0.          0.          1.          0.
   0.          0.2       ]]"
1,[15.],[[[0 0 1 0 0]]],[[11.]],[2],[15.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.52443057  1.         -0.46958786  0.08012918  0.1777404   0.55560327
   0.06791656  0.11861049  0.          0.          1.          0.
   0.          0.3       ]]"
2,[23.],[[[0 0 0 0 1]]],[[19.]],[3],[7.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.70298541  1.         -0.60552812  0.03668109  0.18518567  0.63365394
   0.06294227  0.08153706  0.          0.          1.          0.
   0.          0.4       ]]"
3,[23.],[[[0 0 1 0 0]]],[[10.]],[3],[7.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.78289759  1.         -0.67333007  0.02498902  0.18475592  0.66244972
   0.0595862   0.06821905  0.          0.          1.          0.
   0.          0.5       ]]"
4,[0.],[[[0 1 0 0 0]]],[[8.]],[0],[30.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.72637391  0.9935298  -0.1271327   0.10892266  0.23726735  0.52566367
   0.07994784  0.04819854  0.          0.          1.          0.
   0.          0.6       ]]"
5,[23.],[[[0 1 0 0 0]]],[[5.]],[3],[7.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.83312154  1.         -0.46769783  0.03682775  0.21437457  0.63229734
   0.06704919  0.04945118  0.          0.          1.          0.
   0.          0.7       ]]"
6,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[30.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.80377179  0.99202597 -0.06164144  0.10374992  0.25444636  0.52413559
   0.08162636  0.0360418   0.          0.          1.          0.
   0.          0.8       ]]"
7,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[30.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.81886935  0.98386937  0.0688463   0.1316738   0.26623207  0.48755392
   0.08489972  0.0296405   0.          1.          0.          0.
   0.          0.9       ]]"
8,[0.],[[[0 1 0 0 0]]],[[5.]],[0],[15.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-0.79171896  0.19226281  0.28823933  0.07139818  0.25988892  0.53619903
   0.10910671  0.02340721  0.          1.          0.          0.
   0.          1.        ]]"
9,[0.],[[[0 0 1 0 0]]],[[10.]],[0],[15.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-0.79077137 -0.16204098 -0.43858075  0.00653458  0.15742436  0.72137517
   0.07364117  0.04102481  1.          0.          0.          0.
   0.          1.1       ]]"
